"astro-ph/0305523","Je-An Gu","Je-An Gu","Kaluza-Klein Burst: a New Mechanism for Generating Ultrahigh-Energy
  Cosmic Rays","13 pages, LaTeX",,,,"astro-ph hep-ph hep-th",,"  By invoking small extra dimensions as a good energy bearer, a new scenario
for understanding the origin of ultrahigh-energy cosmic rays (UHECRs), from
both the bottom-up and the top-down viewpoints, is proposed. We explore the
possibility of generating UHECRs via Kaluza-Klein (KK) bursts, a violent energy
transfer from extra dimensions to ordinary dimensions through collisions
between KK modes, in particular, within clumps of KK modes. The possible scales
of these clumps range from the astronomical, e.g. KK stellar compact objects,
to the microscopic, e.g. ""KKonium"". Advantages of this KK burst model of UHECRs
and possible signatures of clumped KK modes are discussed.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:53:45 GMT""},{""version"":""v2"",""created"":""Thu, 10 Nov 2005 21:46:37 GMT""}]","2007-05-23"
"astro-ph/0305525","Takayuki R. Saitoh","T. R. Saitoh and J. Koda","Acceleration Method of Neighbor Search with GRAPE and Morton-ordering","9 pages, 6 figures, accepted for publication in PASJ",,"10.1093/pasj/55.4.871",,"astro-ph",,"  We describe a new method to accelerate neighbor searches on GRAPE, i.e. a
special purpose hardware that efficiently calculates gravitational forces and
potentials in $N$-body simulations. In addition to the gravitational
calculations, GRAPE simultaneously constructs the lists of neighbor particles
that are necessary for Smoothed Particle Hydrodynamics (SPH). However, data
transfer of the neighbor lists from GRAPE to the host computer is time
consuming, and can be a bottleneck. In fact, the data transfer can take about
the same time as the calculations of forces themselves. Making use of GRAPE's
special treatment of neighbor lists, we can reduce the amount of data transfer
if we search neighbors in the order that the neighbor lists, constructed in a
single GRAPE run, overlap each other. We find that the Morton-ordering requires
very low additional calculation and programming costs, and results in
successful speed-up on data transfer. We show some benchmark results in the
case of GRAPE-5. Typical reduction in transferred data becomes as much as 90%.
This method is suitable not only for GRAPE-5, but also GRAPE-3 and the other
versions of GRAPE.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 17:22:15 GMT""}]","2015-06-24"
"astro-ph/0305526","Tarun Deep Saini","T.D.Saini, J.Weller and S.L. Bridle","Revealing the Nature of Dark Energy Using Bayesian Evidence","7 pages, 6 figures, submitted to MNRAS","Mon.Not.Roy.Astron.Soc.348:603,2004","10.1111/j.1365-2966.2004.07391.x",,"astro-ph",,"  We apply the Bayesian concept of `evidence' to reveal systematically the
nature of dark energy from present and future supernova luminosity distance
measurements. We express the unknown dark energy equation of state w(z) as a
low order polynomial in redshift and use evidence to find the polynomial order,
thereby establishing the minimum order required by the data. We apply this
method to the current supernova data, and with a prior -1 < w(z) < 1 and
Omega_m = 0.3 \pm 0.05, obtain a large probability of 91% for the cosmological
constant model, with the remaining 9% assigned to the two more complex models
tested. We also investigate the use of evidence for future supernova data sets
such as distances obtainable from surveys like the Supernova Acceleration Probe
(SNAP). Given a low uncertainty on the present day matter density we find that,
if the underlying dark energy model is only modestly evolving, then a constant
$w(z)$ fit is sufficient. However, if the evolution of the dark energy equation
of state to linear order is larger than |w_1| ~ 0.5, then the evolution can be
established with statistical significance. For models where we can assume the
prior -1 < w(z) < 1, the correct polynomial order can be established even for
modestly evolving equations of state.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 17:42:14 GMT""}]","2008-11-26"
"astro-ph/0305541","Klaus Schenker","A.R. King (1, 2) and K.A. Pounds (1) ((1) University of Leicester, UK,
  (2) Harvard-Smithsonian Center for Astrophysics, Cambridge, MA, USA)","Black Hole Winds","3 pages, no figures; MNRAS, in press (with minor corrections applied)","Mon.Not.Roy.Astron.Soc.345:657,2003","10.1046/j.1365-8711.2003.06980.x",,"astro-ph",,"  We show that black holes accreting at or above the Eddington rate probably
produce winds which are optically thick in the continuum, whether in quasars or
X-ray binaries. The photospheric radius and outflow speed are proportional to
\mo^2 and \mo^-1 respectively, where \mo is the mass outflow rate. The outflow
momentum rate is always of order L_Edd/c. Blackbody emission from these winds
may provide the big blue bump in some quasars and AGN, as well as ultrasoft
X-ray components in ULXs.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:41:43 GMT""},{""version"":""v2"",""created"":""Tue, 1 Jul 2003 15:37:07 GMT""}]","2009-07-09"
"astro-ph/0305542","Belli Pierluigi","R. Bernabei, P. Belli, F. Cappella, R. Cerulli, F. Montecchia, F.
  Nozzoli, A. Incicchitti, D. Prosperi, C.J. Dai, H.H. Kuang, J.M. Ma, Z.P. Ye","DAMA results","Contributed paper to X International Workshop on ""Neutrino
  Telescopes"", Venice 2003, ROM2F/2003/9","Proc. of the X Int. Works. on ""Neutrino telescopes"", papergraf ed.
  (2003), 403",,,"astro-ph hep-ex hep-ph",,"  DAMA is an observatory for rare processes based on the development and use of
various kinds of radiopure scintillators. Several low background set-ups have
been realized with passing and many rare processes have been investigated. Main
activities are briefly summarized in the following and the main arguments on
the results achieved in the investigation of the WIMP annual modulation
signature are addressed. Next perspectives are also mentioned.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:57:01 GMT""},{""version"":""v2"",""created"":""Thu, 29 May 2003 07:20:01 GMT""}]","2009-01-24"
"astro-ph/0305543","Kester Smith","K.W. Smith, M. Pestalozzi, M. Guedel, J. Conway, A. Benz","VLBI observations of T Tauri S","11 pages, 10 postscript figures","Astron.Astrophys. 406 (2003) 957-968","10.1051/0004-6361:20030764",,"astro-ph",,"  We report observations of the T Tauri system at 8.4 GHz with a VLBI array
comprising the VLBA, VLA and Effelsberg 100m telescopes. We detected a compact
source offset approximately 40 mas from the best infrared position of the T Tau
Sb component. This source was unresolved, and constrained to be less than 0.5
mas in size, corresponding to 0.07 AU or 15 R$_{\odot}$ at a distance of 140
pc. The other system components (T Tau Sa, T Tau N) were not detected in the
VLBI data. The separate VLA map contains extended flux not accounted for by the
compact VLBI source, indicating the presence of extended emission on arcsecond
scales. The compact source shows rapid variability, which together with
circular polarization and its compact nature indicate that the observed flux
arises from a magnetically-dominated region. Brightness temperatures in the MK
range point to gyrosynchrotron as the emission mechanism for the steady
component. The rapid variations are accompanied by dramatic changes in
polarization, and we record an at times 100% polarized component during
outbursts. This strongly suggests a coherent emission process, most probably an
electron cyclotron maser. With this assumption it is possible to estimate the
strength of the local magnetic field to be 1.5-3 kilogauss.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:13:07 GMT""}]","2009-11-07"
"astro-ph/0305544","Marcin Sawicki","Marcin Sawicki, Gabriela Mallen-Ornelas","Redshifts in the Hubble Deep Field South","Accepted for publication in the Astronomical Journal","Astron.J. 126 (2003) 1208","10.1086/377317",,"astro-ph",,"  We present a catalog of 97 spectroscopic redshifts of z<1 galaxies in the
Hubble Deep Field South (HDFS) and its Flanking Fields (FFs). In the HDFS
proper, we observed approximately half the galaxies brighter than I(AB)=24 and
obtained redshifts for 76% of them. Targets in our HDFS sample were
pre-selected to be at z<1 based on photometric redshifts, while in the FFs a
simple magnitude cut was used. The photometric redshift pre-selection in the
HDFS resulted in a spectroscopic success rate that is significantly higher than
in the FFs, where no pre-selection was applied. The RMS precision of our
redshift measurements, determined from repeat observations, is delta_z=0.0003.
We present the photometry and redshifts for the 97 objects for which we secured
spectroscopic redshifts and describe the basic properties of this sample.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 19:27:31 GMT""}]","2009-11-07"
"astro-ph/0305545","Antony Lewis","Antony Lewis","Harmonic E/B decomposition for CMB polarization maps","Fixed numerical bug in tensor C_l: Planck detection probability
  results updated (supersedes PRD version). Sample code and additional examples
  available at http://cosmologist.info/polar/","Phys.Rev. D68 (2003) 083509","10.1103/PhysRevD.68.083509",,"astro-ph",,"  The full sky cosmic microwave background polarization field can be decomposed
into 'electric' (E) and 'magnetic' (B) components that are signatures of
distinct physical processes. We give a general construction that achieves
separation of E and B modes on arbitrary sections of the sky at the expense of
increasing the noise. When E modes are present on all scales the separation of
all of the B signal is no longer possible: there are inevitably ambiguous modes
that cannot be separated. We discuss the practicality of performing E/B
decomposition on large scales with realistic non-symmetric sky-cuts, and show
that separation on large scales is possible by retaining only the well
supported modes. The large scale modes potentially contain a great deal of
useful information, and E/B separation at the level of the map is essential for
clean detection of B without confusion from cosmic variance due to the E
signal. We give simple matrix manipulations for creating pure E and B maps of
the large scale signal for general sky cuts. We demonstrate that the method
works well in a realistic case and give estimates of the performance with data
from the Planck satellite. In the appendix we discuss the simple analytic case
of an azimuthally symmetric cut, and show that exact E/B separation is possible
on an azimuthally symmetric cut with a finite number of non-intersecting
circular cuts around foreground sources.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:32:36 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jul 2003 19:47:12 GMT""},{""version"":""v3"",""created"":""Mon, 25 Aug 2003 22:15:05 GMT""},{""version"":""v4"",""created"":""Thu, 15 Jul 2004 19:02:31 GMT""}]","2009-11-07"
"astro-ph/0305546","Graeme Lufkin","Graeme Lufkin (University of Washington), Thomas Quinn (University of
  Washington), James Wadsley (McMaster University), Joachim Stadel (University
  of Zurich) and Fabio Governato (University of Washington)","Simulations of Gaseous Disc-Embedded Planet Interaction","10 pages, 8 figures, see
  http://hpcc.astro.washington.edu/grads/gwl/disc_planet_interaction for
  high-resolution color figures and movies","Mon.Not.Roy.Astron.Soc.347:421,2004","10.1111/j.1365-2966.2004.07208.x",,"astro-ph",,"  We present three-dimensional self-gravitating smoothed-particle hydrodynamics
(SPH) simulations of an isothermal gaseous disc interacting with an embedded
planet. Discs of varying stability are simulated with planets ranging from 10
Earth-masses to 2 Jupiter-masses. The SPH technique provides the large dynamic
range needed to accurately capture the large scale behavior of the disc as well
as the small scale interaction of the planet with surrounding material. Most
runs used 10^5 gas particles, giving us the spatial resolution required to
observe the formation of planets. We find four regions in parameter space:
low-mass planets undergo Type I migration; higher-mass planets can form a gap;
the gravitational instability mode of planet formation in marginally stable
discs can be triggered by embedded planets; discs that are completely unstable
can fragment to form many planets. The disc stability is the most important
factor in determing which interaction a system will exhibit. For the stable
disc cases, our migration and accretion time-scales are shorter and scale
differently than previously suggested.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:18:27 GMT""},{""version"":""v2"",""created"":""Fri, 2 Jan 2004 20:12:24 GMT""}]","2008-11-26"
"astro-ph/0305547","John S. Arabadjis","J.S. Arabadjis (MIT), M.W. Bautz (MIT), G. Arabadjis (Mitre Corp.)","Extracting the Dark Matter Profile of a Relaxed Galaxy Cluster","final version to match accepted ApJ version; 29 pages","Astrophys.J. 617 (2004) 303-314","10.1086/425208",,"astro-ph",,"  Knowledge of the structure of galaxy clusters is essential for an
understanding of large scale structure in the universe, and may provide
important clues to the nature of dark matter. Moreover, the shape of the dark
matter distribution in the cluster core may offer insight into the structure
formation process. Unfortunately, cluster cores also tend to be the site of
complicated astrophysics. X-ray imaging spectroscopy of relaxed clusters, a
standard technique for mapping their dark matter distributions, is often
complicated by the presence of cool components in cluster cores, and the dark
matter profile one derives for a cluster is sensitive to assumptions made about
the distribution of this component. In addition, fluctuations in the
temperature measurements resulting from normal statistical variance can produce
results which are unphysical. We present here a procedure for extracting the
dark matter profile of a spherically symmetric, relaxed galaxy cluster which
deals with both of these complications. We apply this technique to a sample of
galaxy clusters observed with the Chandra X-ray Observatory, and comment on the
resulting mass profiles. For some of the clusters we compare their masses with
those derived from weak and strong gravitational measurements.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:45:22 GMT""},{""version"":""v2"",""created"":""Tue, 20 Jan 2004 21:00:29 GMT""},{""version"":""v3"",""created"":""Thu, 19 Aug 2004 20:20:03 GMT""}]","2009-11-07"
"astro-ph/0305548","Andrei Gruzinov","Gia Dvali, Andrei Gruzinov, and Matias Zaldarriaga","Cosmological Perturbations From Inhomogeneous Reheating, Freeze-Out, and
  Mass Domination","13 pages","Phys.Rev.D69:083505,2004","10.1103/PhysRevD.69.083505",,"astro-ph",,"  We generalize a recently proposed mechanism for the origin of primordial
metric perturbations in inflationary models. Quantum fluctuations of light
scalar fields during inflation give rise to super-horizon fluctuations of
masses and reaction rates of various particles. Reheating, freeze-out, and
matter-domination processes become inhomogeneous and generate super-horizon
metric perturbations. We also calculate the degree of non-Gaussianity $f_{nl}$
for this new model of cosmological perturbations. The precise value of $f_{nl}$
depends on the specific models, but $|f_{nl}|\sim$few is a natural lower bound
for our mechanisms. This is much larger than the currently assumed theoretical
value $f_{nl}\sim tilt \lesssim 0.05$, and is thought to be observable. In a
particularly attractive model of inhomogeneous mass-domination, the
non-Gaussianity of perturbations generated by our mechanism is simply
$f_{nl}=5$, irrespective of the detailed structure of the underlying field
theory.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 21:40:39 GMT""}]","2010-04-06"
