"astro-ph/0306096","David J. Rusin","D. Rusin, C.S. Kochanek, C.R. Keeton","Self-Similar Models for the Mass Profiles of Early-type Lens Galaxies","30 pages including 6 figures, to be published in ApJ","Astrophys.J.595:29-42,2003","10.1086/377356",,"astro-ph",,"  We introduce a self-similar mass model for early-type galaxies, and constrain
it using the aperture mass-radius relations determined from the geometries of
22 gravitational lenses. The model consists of two components: a concentrated
component which traces the light distribution, and a more extended power-law
component (rho propto r^-n) which represents the dark matter. We find that lens
galaxies have total mass profiles which are nearly isothermal, or slightly
steeper, on the several-kiloparsec radial scale spanned by the lensed images.
In the limit of a single-component, power-law radial profile, the model implies
n=2.07+/-0.13, consistent with isothermal (n=2). Models in which mass traces
light are excluded at >99 percent confidence. An n=1 cusp (such as the
Navarro-Frenk-White profile) requires a projected dark matter mass fraction of
f_cdm = 0.22+/-0.10 inside 2 effective radii. These are the best statistical
constraints yet obtained on the mass profiles of lenses, and provide clear
evidence for a small but non-zero dark matter mass fraction in the inner
regions of early-type galaxies. In addition, we derive the first strong lensing
constraint on the relation between stellar mass-to-light ratio (Upsilon) and
galaxy luminosity (L): Upsilon propto L^[0.14 (+0.16)(-0.12)], which is
consistent with the relation suggested by the fundamental plane. Finally, we
apply our self-similar mass models to current problems regarding the
interpretation of time delays and flux ratio anomalies in gravitational lens
systems.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 18:58:37 GMT""}]","2008-11-26"
"astro-ph/0306113","C. P. Dullemond","C.P. Dullemond, M.E. van den Ancker, B. Acke, R. van Boekel","Explaining UXOR variability with self-shadowed disks","Accepted for publication in ApJ Letters (a few lines added to
  original version to accommodate comments of referee)","Astrophys.J. 594 (2003) L47-L50","10.1086/378400",,"astro-ph",,"  In this Letter we propose a new view on UX Orionis type variability. The idea
is based on the earlier proposal by various authors that UXORs are
nearly-edge-on disks in which hydrodynamic fluctuations could cause clumps of
dust and gas to cross the line of sight. However, because the standard disk
models have a flaring geometry, it is mostly the outer regions of the disk that
obscure the star. The time scales for such obscuration events would be too long
to match the observed time scales of weeks to months. Recent 2-D
self-consistent models of Herbig Ae/Be protoplanetary disks (Dullemond et al.
2002,2003 henceforth D02/DD03), however, have indicated that for Herbig Ae/Be
star disks there exists, in addition to the usual flared disks, also a new
class of disks: those that are fully self-shadowed. Only their puffed-up inner
rim (at the dust evaporation radius) is directly irradiated by the star, while
the disk at larger radius resides in the shadow of the rim. For these disks
there exist inclinations at which the line of sight towards the star skims the
upper parts of the puffed-up inner rim, while passing high over the surface of
outer disk regions. Small hydrodynamic fluctuations in the puffed-up inner rim
could then be held responsible for the extinction events seen in UXORs. If this
idea is correct, it makes a prediction for the shape of the SEDs of these
stars. It was shown by D02/DD03 that flared disks have a strong far-IR excess
and can be classified as `group I' (in the classification of Meeus et al.
2001), while self-shadowed disks have a relatively weak far-IR excess and are
classified as `group II'. Our model therefore predicts that UXORs belong to the
`group II' sources. We show that this correlation is indeed found within a
sample of 86 Herbig Ae/Be stars.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 16:31:41 GMT""},{""version"":""v2"",""created"":""Thu, 17 Jul 2003 11:34:32 GMT""}]","2009-11-07"
"astro-ph/0306115","Yu-Ying Zhang","Y.-Y. Zhang, A. Finoguenov, H. Boehringer, Y. Ikebe, K. Matsushita,
  and P. Schuecker","Temperature gradients in XMM-Newton observed REFLEX-DXL galaxy clusters
  at z~0.3","Revised version accepted for publication in A&A, 18 pages","Astron.Astrophys. 413 (2004) 49-64","10.1051/0004-6361:20031531",,"astro-ph",,"  We present XMM-Newton results on the temperature profiles of a volume-limited
sample of galaxy clusters at redshifts z~0.3, selected from the REFLEX survey
(REFLEX-DXL sample). In the spectral analysis, where only the energies above 1
keV were considered, we obtained consistent results on the temperature derived
from the EPN, EMOS1 and EMOS2 data. Useful temperature measurements could be
performed out to radii with overdensity 500 (r500) for all nine clusters. We
discovered a diversity in the temperature gradients at the outer cluster radii
with examples of both flat and strongly decreasing profiles. Using the total
mass and the gas mass profiles for the cluster RXCJ0307.0-2840 we demonstrate
that the errors on the mass estimates for the REFLEX-DXL clusters are within
25% up to r500.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 19:11:38 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jun 2003 08:21:50 GMT""},{""version"":""v3"",""created"":""Fri, 27 Jun 2003 12:12:17 GMT""},{""version"":""v4"",""created"":""Mon, 22 Sep 2003 16:28:50 GMT""}]","2009-11-07"
"astro-ph/0306117","Askin Ankay","Sevinc O. Tagieva (1), Oktay H. Guseinov (2,3), Askin Ankay (2)
  ((1)Academy of Science, Baku; (2)Feza Gursey Institute, Istanbul; (3) Akdeniz
  University, Antalya)","The Lower Limit for Masses of Progenitors of Supernova Remnants and
  Radio Pulsars","15 pages of text, 1 table, 4 figures",,,,"astro-ph",,"  We examined correlations between young radio pulsars (PSRs), Supernova
remnants (SNRs) which have different surface brightness values and young star
formation regions (SFRs). Angular correlation of PSRs with SFRs is reliable up
to 4 kpc and considerably strong up to 3 kpc from the Sun. On average this
correlation is stronger for Galactic anticenter directions compared to Galactic
central directions. Angular correlation of SNRs with SFRs is weaker and depends
on the surface brightness of the SNR. Spatial correlation of PSRs with SFRs is
also stronger than spatial correlation of SNRs with SFRs. Dim SNRs show weak
spatial correlation with SFRs. These investigations and analysis of various
data show that the lower limit for masses of progenitors of PSRs is about 9
M$_{\odot}$ and of SNRs (or supernovae) is about 7 M$_{\odot}$.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 16:15:15 GMT""}]","2007-05-23"
"astro-ph/0306118","Giulio Auriemma","Giulio Auriemma (Universita degli Studi della Basilicata, Italy)","Neutrinos and gravitational waves from cosmological gamma-ray bursts","18 pages, 8 figures, Invited paper presented at the ``Vulcano
  Workshop 2002'', Vulcano, Italy, 20-25 May, 2002",,,,"astro-ph",,"  Cosmological gamma ray bursts are very likely powerful sources of high energy
neutrinos and gravitational waves. The aim of this paper is to review and
update the current predictions about the intensity of emission in this two
forms to be expected from GRB's. In particular a revised calculation of the
neutrino emission by photohadronic interaction at the internal shock is
obtained by numerical integration, including both the resonant and the
hadronization channels. The detectability of gravitational waves from
individual bursts could be difficult for presently planned detectors if the
GRB's are beamed, but it is possible, as we have proposed in a paper two years
ago, that the incoherent superimposition of small amplitude pulse trains of
GW's impinging on the detector, could be detected as an excess of noise in the
full VIRGO detector, integrating over a time of the order of one year.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 16:21:07 GMT""}]","2007-05-23"
"astro-ph/0306119","Martin Laming","J. Martin Laming & Una Hwang","On the Determination of Ejecta Structure and Explosion Asymmetry from
  the X-ray Knots of Cassiopeia A","32 pages, submitted to ApJ","Astrophys.J. 597 (2003) 347-361","10.1086/378268",,"astro-ph",,"  We present a detailed analysis of Chandra X-ray spectra from individual
ejecta knots in the supernova remnant Cassiopeia A. The spectra are fitted to
give the electron temperature and (single) ionization age. These quantities are
compared with the predictions of self similar hydrodynamic models incorporating
time dependent ionization and radiation losses, and Coulomb electron-ion
equilibration behind the reverse shock, for a variety of different ejecta
density profiles described by a uniform density core and a power law envelope.
We find that the ejecta close to the ""jet"" region in the NE, but not actually
in the jet itself, have a systematically shallower outer envelope than ejecta
elsewhere in the remnant, and we interpret this as being due to more energy of
the initial explosion being directed in this polar direction as opposed to
equatorially. The degree of asymmetry we infer is at the low end of that
generally modelled in asymmetric core-collapse simulations, and may possibly be
used to rule out highly asymmetric explosion models.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 16:42:10 GMT""}]","2009-11-07"
"astro-ph/0306120","Una Hwang","Una Hwang & J. Martin Laming","Where was the Iron Synthesized in Cassiopeia A?","submitted to ApJ, companion to Laming & Hwang; 25 pages, 6 figures","Astrophys.J. 597 (2003) 362-373","10.1086/378269",,"astro-ph",,"  We investigate the properties of Fe-rich knots on the east limb of the
Cassiopeia A supernova remnant using observations with Chandra/ACIS and
analysis methods developed in a companion paper. We use the fitted ionization
age and electron temperature of the knots to constrain the ejecta density
profile and the Lagrangian mass coordinates of the knots. Fe-rich knots which
also have strong emission from Si, S, Ar, and Ca are clustered around mass
coordinates q~0.35-0.4 in the shocked ejecta; for ejecta mass 2M_sun, this
places the knots 0.7-0.8 M_sun out from the center (or 2-2.1 M_sun, allowing
for a 1.3 M_sun compact object). We also find an Fe clump that is evidently
devoid of line emission from lower mass elements, as would be expected if it
were the product of alpha-rich freeze out; the mass coordinate of this clump is
similar to those of the other Fe knots.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 18:18:04 GMT""}]","2009-11-07"
"astro-ph/0306121","Tomoaki Matsumoto","Tomoaki Matsumoto, Tomoyuki Hanawa","Fragmentation of a Molecular Cloud Core versus Fragmentation of the
  Massive Protoplanetary Disk in the Main Accretion Phase","Accepted by ApJ, 53 pages, 27 figures. Document with high quality
  figures and movies are available in
  http://meric.i.hosei.ac.jp/~matsu/fragment03/","Astrophys.J. 595 (2003) 913-934","10.1086/377367",,"astro-ph",,"  The fragmentation of molecular cloud cores a factor of 1.1 denser than the
critical Bonnor-Ebert sphere is examined though three-dimensional numerical
simulations. A nested grid is employed to resolve fine structure down to 1 AU
while following the entire structure of the molecular cloud core of radius 0.14
pc. A total of 225 models are shown to survey the effects of initial rotation
speed, rotation law, and amplitude of bar mode perturbation. The simulations
show that the cloud fragments whenever the cloud rotates sufficiently slowly to
allow collapse but fast enough to form a disk before first-core formation. The
latter condition is equivalent to $\Omega_0 t_{\rm ff} \gtrsim 0.05$, where
$\Omega_0$ and $t_{\rm ff}$ denote the initial central angular velocity and the
freefall time measured from the central density, respectively. Fragmentation is
classified into six types: disk-bar, ring-bar, satellite, bar, ring, and
dumbbell types according to the morphology of collapse and fragmentation. When
the outward decrease in initial angular velocity is more steep, the cloud
deforms from spherical at an early stage. The cloud deforms into a ring only
when the bar mode m = 2 perturbation is very minor. The ring fragments into two
or three fragments via ring-bar type fragmentation and into at least three
fragments via ring type fragmentation. When the bar mode is significant, the
cloud fragments into two fragments via either bar or dumbbell type
fragmentation. These fragments eventually merge due to their low angular
momenta, after which several new fragments form around the merged fragment via
satellite type fragmentation.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 17:27:51 GMT""}]","2009-11-07"
"astro-ph/0306122","Paolo Creminelli","Paolo Creminelli","On non-gaussianities in single-field inflation","10 pages","JCAP 0310:003,2003","10.1088/1475-7516/2003/10/003","HUTP-03/A036","astro-ph hep-ph hep-th",,"  We study the impact of higher dimension operators in the inflaton Lagrangian
on the non-gaussianity of the scalar spectrum. These terms can strongly enhance
the effect without spoiling slow-roll, though it is difficult to exceed f_NL ~
1, because the scale which suppresses the operators cannot be too low, if we
want the effective field theory description to make sense. In particular we
explicitly calculate the 3-point function given by an higher derivative
interaction of the form (\nabla\phi)^4, which is expected to give the most
important contribution. The angular dependence of the result turns out to be
quite different from the minimal case without higher dimension operators.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 17:57:37 GMT""},{""version"":""v2"",""created"":""Thu, 25 Sep 2003 14:07:11 GMT""}]","2011-05-05"
"astro-ph/0306123","Gerd Puehlhofer","G. Puehlhofer, O. Bolz, N. Goetting, et al., the HEGRA Collaboration","The Technical Performance of the HEGRA System of Imaging Air Cherenkov
  Telescopes","26 pages, 16 figures. Accepted for publication in Astroparticle
  Physics. This version uses espcrc2.sty","Astropart.Phys.20:267-291,2003","10.1016/j.astropartphys.2003.06.001",,"astro-ph",,"  Between early 1997 and late 2002, the HEGRA collaboration operated a
stereoscopic system of 4 (later 5) imaging atmospheric Cherenkov telescopes. In
this paper we present the calibration schemes which were developed for the
system, and report on the performance of the detector over the years. In
general, the telescope system was very well understood, regarding both the
absolute calibration and the slight changes in performance over the years. The
system had an energy threshold of 500 GeV for observations at zenith and under
optimum detector conditions. With the corresponding calibration schemes, a
systematic accuracy of 15 percent on the absolute energy scale has been
achieved. The continuous sensitivity monitoring provided a relative accuracy of
a few percent, and showed that the threshold did not exceed 600 GeV throughout
the entire operation time. The readout electronics and the imaging quality of
the dishes were well monitored and stable. The absolute pointing had an
accuracy of at least 25 arcsec; this number was guaranteed throughout the whole
lifetime of the experiment.
","[{""version"":""v1"",""created"":""Thu, 5 Jun 2003 18:19:28 GMT""}]","2010-05-19"
