"astro-ph/0307107","Re'em Sari","Re'em Sari and Peter Goldreich","Planet - Disk Symbiosis","Submitted to ApJL","Astrophys.J.606:L77-L80,2004","10.1086/421080",,"astro-ph",,"  Planets form in disks around young stars. Interactions with these disks cause
them to migrate and thus affect their final orbital periods. We suggest that
the connection between planets and disks may be deeper and involve a symbiotic
evolution. By contributing to the outward transport of angular momentum,
planets promote disk accretion. Here we demonstrate that planets sufficiently
massive to open gaps could be the primary agents driving disk accretion. Those
having masses below the gap opening threshold drift inward more rapidly than
the disk material and can only play a minor role in its accretion. Eccentricity
growth during gap formation may involve an even more intimate symbiosis. Given
a small initial eccentricity, just a fraction of a percent, the orbital
eccentricity of a massive planet may grow rapidly once a mass in excess of the
planet's mass has been repelled to form a gap around the planet's orbit. Then,
as the planet's radial excursions approach the gap's width, subsequent
eccentricity growth slows so that the planet's orbit continues to be confined
within the gap.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 19:24:48 GMT""}]","2009-11-10"
"astro-ph/0307108","Takashi Kozasa","Takaya Nozawa (1), Takashi Kozasa (1), Hideyuki Umeda (2), Keiichi
  Maeda (2), Ken'ichi Nomoto (2) ((1) Division of Earth and Planetary Sciences,
  Hokkaido University, (2) Department of Astronomy, University of Tokyo)","Dust in the Early Universe: Dust Formation in the Ejecta of Population
  III Supernovae","Latex 49 pages including 2 tables and 17 figures; changed content.
  Accepted for publication in ApJ on Aug. 11, 2003","Astrophys.J.598:785-803,2003","10.1086/379011",,"astro-ph",,"  We investigate the formation of dust grains in the ejecta of population III
supernovae including pair--instability supernovae, applying a theory of non--
steady state nucleation and grain growth. In the calculations, the time
evolution of gas temperature in theejecta, which strongly affects the number
density and size of newly formed grains, is calculated by solving the radiative
transfer equation taking account of the energy deposition of radio active
elements. Two extreme cases are considered for the mixing of elements in the
ejecta; unmixed and uniformly mixed cases within the He--core.
  The results of calculations are summarized as the followings; in the unmixed
ejecta, a variety of grain species condense, reflecting the difference of the
elemental composition at the formation site in the ejecta, otherwise only oxide
grains condense in the uniformly mixed ejecta. The average size of newly formed
grains spans the range of three orders of magnitude, depending on the grain
species and the formation condition, and the maximum radius is limited to less
than 1 $\mu$m, which does not depend on the progenitor mass. The size
distribution function summed up over all grain species is approximated by a
power--law formula whose index is -3.5 for the larger radius and -2.5 for the
smaller one; the radius at the crossover point ranges from 0.004 to 0.1 $\mu$m,
depending on the model of supernovae. The fraction of mass locked into dust
grains increases with increasing the progenitor mass; 2--5 % of the progenitor
mass for core collapse supernovae and 15--30 % for pair--instability supernovae
whose progenitor mass ranges from 140 to 260 $M_{\odot}$. Thus, if the very
massive stars populate the first generation stars, a large amount of dust
grains would be produced in the early universe.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 06:37:46 GMT""},{""version"":""v2"",""created"":""Mon, 18 Aug 2003 11:35:02 GMT""}]","2009-11-10"
"cond-mat/0307120","A. O. Garcia Rodriguez","A. O. Garcia Rodriguez, A. Villares Ferrer, A. O. Caldeira","Domain-wall profile in the presence of anisotropic exchange
  interactions: Effective on-site anisotropy","4 pages; new title and abstract; 1 figure comparing our results with
  earlier numerical work; a more general model containing the usual on-site
  anisotropy; new remarks and references on the following two topics: (a)
  experimental evidence for the existence of spin exchange anisotropy, and (b)
  preceding theories concerning the domain wall contribution to
  magnetoresistance; to appear in Phys. Rev. B","Phys. Rev. B 69, 212403 (2004)","10.1103/PhysRevB.69.212403",,"cond-mat.mtrl-sci",,"  Starting from a D-dimensional XXZ ferromagnetic Heisenberg model in an
hypercubic lattice, it is demonstrated that the anisotropy in the exchange
coupling constant leads to a D-dependent effective on-site anisotropy
interaction often ignored for D>1. As a result the effective width of the wall
depends on the dimensionality of the system. It is shown that the effective
one-dimensional Hamiltonian is not the one-dimensional XXZ version as assumed
in previous theoretical work. We derive a new expression for the wall profile
that generalizes the standard Landau-Lifshitz form. Our results are found to be
in very good agreement with earlier numerical work using the Monte Carlo
method. Preceding theories concerning the domain wall contribution to
magnetoresistance have considered the role of D only through the modification
of the density of states in the electronic band structure. This Brief Report
reveals that the wall profile itself contains an additional D dependence for
the case of anisotropic exchange interactions.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 17:19:34 GMT""},{""version"":""v2"",""created"":""Mon, 31 May 2004 19:28:03 GMT""}]","2009-11-10"
"cond-mat/0307123","Andrei Lopatin","A.V. Lopatin and V.M. Vinokur","Delocalization in two dimensional disordered Bose systems and depinning
  transition in the vortex state in superconductors",,,"10.1103/PhysRevLett.92.067008",,"cond-mat.supr-con",,"  We investigate two-dimensional Bose system with the long range interactions
in the presence of disorder. Formation of the bound states at strong impurity
sites gives rise to an additional depletion of the superfluid density. We
demonstrate the existence of the intermediate superfluid state where the
condensate and localized bosons present simultaneously. We find that
interactions suppress localization and that with the increase of the boson
density the system experiences a sharp delocalization crossover into a state
where all bosons are delocalized. We map our results onto the three dimensional
system of vortices in type II superconductors in the presence of columnar
defects; the intermediate superfluid state maps to an intermediate vortex
liquid where vortex liquid neighbors pinned vortices. We predict the depinning
transition within the vortex liquid and depinning induced vortex lattice/Bose
glass melting.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 20:54:54 GMT""}]","2009-11-10"
"cond-mat/0307124","Carsten A. Ullrich","C. A. Ullrich and M. E. Flatte","Anisotropic splitting of intersubband spin plasmons in quantum wells
  with bulk and structural inversion asymmetry","8 pages, 6 figures",,"10.1103/PhysRevB.68.235310",,"cond-mat.mes-hall",,"  In semiconductor heterostructures, bulk and structural inversion asymmetry
and spin-orbit coupling induce a k-dependent spin splitting of valence and
conduction subbands, which can be viewed as being caused by momentum-dependent
crystal magnetic fields. This paper studies the influence of these effective
magnetic fields on the intersubband spin dynamics in an asymmetric n-type
GaAs/AlGaAs quantum well. We calculate the dispersions of intersubband spin
plasmons using linear response theory. The so-called D'yakonov-Perel'
decoherence mechanism is inactive for collective intersubband excitations,
i.e., crystal magnetic fields do not lead to decoherence of spin plasmons.
Instead, we predict that the main signature of bulk and structural inversion
asymmetry in intersubband spin dynamics is a three-fold, anisotropic splitting
of the spin plasmon dispersion. The importance of many-body effects is pointed
out, and conditions for experimental observation with inelastic light
scattering are discussed.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 22:15:16 GMT""}]","2009-11-10"
"cond-mat/0307125","Gary A. Williams","Gary A. Williams","Vortex Fluctuations in the Critical Casimir Effect of Superfluid and
  Superconducting Films","4 pages, 5 figures, Revtex 4, typo correction",,"10.1103/PhysRevLett.92.197003",,"cond-mat.supr-con cond-mat.stat-mech",,"  Vortex-loop renormalization techniques are used to calculate the magnitude of
the critical Casimir forces in superfluid films. The force is found to become
appreciable when size of the thermal vortex loops is comparable to the film
thickness, and the results for T < Tc are found to match very well with
perturbative renormalization theories that have only been carried out for T >
Tc. When applied to a high-Tc superconducting film connected to a bulk sample,
the Casimir force causes a voltage difference to appear between the film and
bulk, and estimates show that this may be readily measurable.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 22:25:39 GMT""},{""version"":""v2"",""created"":""Thu, 10 Jul 2003 04:33:43 GMT""}]","2009-11-10"
"cond-mat/0307127","Guo-qing Zheng","T. Fujimoto, G.-q. Zheng, Y. Kitaoka, R.L. Meng, J. Cmaidalka, and
  C.W. Chu","Unconventional Superconductivity and Electron Correlations in Cobalt
  Oxyhydrate Na$_{0.35}$CoO$_{2}$$\cdot y$H$_{2}$O","submitted for publication in June '03","Phys. Rev. Lett. 92, 047004 (2004)","10.1103/PhysRevLett.92.047004",,"cond-mat.supr-con cond-mat.str-el",,"  We report a precise $^{59}$Co nuclear quadrupolar resonance (NQR) measurement
on the recently discovered cobalt oxyhydrate Na$_{0.35}$CoO$_{2}$$\cdot
y$H$_{2}$O superconductor from $T$=40 K down to 0.2 K. We find that in the
normal state the spin-lattice relaxation rate $1/T_1$ follows a Curie-Weiss
type temperature ($T$) variation, $1/T_1T=C/(T-\theta)$, with $\theta$=-42 K,
suggesting two-dimensional antiferromagnetic spin correlations. Below $T_c$=3.9
K, $1/T_1$ decreases with no coherence peak and follows a $T^n$ dependence with
$n\simeq$2.2 down to $\sim$2.0 K but crosses over to a $1/T_1\propto T$
variation below $T$=1.4 K, which suggests non s-wave superconductivity. The
data in the superconducting state are most consistent with the existence of
line nodes in the gap function.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 01:52:46 GMT""}]","2009-11-10"
"cond-mat/0307128","Roman Mints","R.G. Mints","Equilibrium current temperature quasi-oscillations in a ferromagnetic
  loop","2 pages, accepted for presentation at ICM 2003 (Rome, Italy).
  Accepted for publication in Journal of Magnetism and Magnetic Materials","J. Magn. Magn. Mater. 272-276, 993 (2004)","10.1016/j.jmmm.2003.12.996",,"cond-mat.mes-hall",,"  Equilibrium persistent current carried by a small ferromagnet-metal loop is
considered. This current is shown to be quasi periodic in temperature at low
temperatures. The quasi period is determined mainly by the temperature
dependence of the magnetization.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 07:00:19 GMT""}]","2015-06-24"
"cs/0307013","J. G. Wolff","J Gerard Wolff","'Computing' as Information Compression by Multiple Alignment,
  Unification and Search",,"Journal of Universal Computer Science 5(11), 776--815, 1999",,,"cs.AI cs.CC",,"  This paper argues that the operations of a 'Universal Turing Machine' (UTM)
and equivalent mechanisms such as the 'Post Canonical System' (PCS) - which are
widely accepted as definitions of the concept of `computing' - may be
interpreted as *information compression by multiple alignment, unification and
search* (ICMAUS).
  The motivation for this interpretation is that it suggests ways in which the
UTM/PCS model may be augmented in a proposed new computing system designed to
exploit the ICMAUS principles as fully as possible. The provision of a
relatively sophisticated search mechanism in the proposed 'SP' system appears
to open the door to the integration and simplification of a range of functions
including unsupervised inductive learning, best-match pattern recognition and
information retrieval, probabilistic reasoning, planning and problem solving,
and others. Detailed consideration of how the ICMAUS principles may be applied
to these functions is outside the scope of this article but relevant sources
are cited in this article.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 18:52:20 GMT""}]","2007-05-23"
"gr-qc/0307021","Ozay Gurtug","O.Gurtug, M.Halilsoy and I.Sakalli","New Singular and Nonsingular Colliding Wave Solutions in Einstein -
  Maxwell - Scalar Theory","15 pages, To be published in GRG","Gen.Rel.Grav. 35 (2003) 2159-2170","10.1023/A:1027349606694",,"gr-qc",,"  A technique is given to generate coupled scalar field solutions in colliding
Einstein - Maxwell (EM) waves. By employing the Bell - Szekeres solution as
seed and depending on the chosen scalar field it is possible to construct
nonsingular solutions. If the original EM solution is already singular addition
of scalar fields does not make the physics any better. In particular, scalar
field solution that is transformable to spherical symmetry is plagued with
singularities.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 07:24:20 GMT""}]","2015-06-25"
"gr-qc/0307023","Samad Khakshournia","Samad Khakshournia and Reza Mansouri","Formation of cosmological mass condensation within a FRW universe: exact
  general relativistic solutions","6 pages","Phys.Rev. D65 (2002) 027302","10.1103/PhysRevD.65.027302",,"gr-qc",,"  Within the framework of an exact general relativistic formulation of gluing
manifolds, we consider the problem of matching an inhomogeneous overdense
region to a Friedmann-Robertson-Walker background universe in the general
spherical symmetric case of pressure-free models. It is shown that, in general,
the matching is only possible through a thin shell, a fact ignored in the
literature. In addition to this, in subhorizon cases where the matching is
possible, an intermediate underdense region will necessarily arise.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 10:41:12 GMT""}]","2009-11-10"
