"astro-ph/0308282","Thomas H. Reiprich","Thomas H. Reiprich (Bonn University), Craig L. Sarazin (UVa), Joshua
  C. Kempner (CfA), Eric Tittley (University of Edinburgh)","XMM-Newton Observation of the Merging Galaxy Cluster A1644","17 pages; ApJ, 608, 179; replaced to match accepted ApJ version; I
  recommend getting the version with uncompromised figures (and the movie!)
  from http://A1644.dark-energy.net","Astrophys.J.608:179-188,2004","10.1086/386318",,"astro-ph",,"  An XMM-Newton imaging spectroscopy analysis of the galaxy cluster A1644 is
presented. A1644 is a complex merging system consisting of a main and a sub
cluster. A trail of cool, metal-rich gas has been discovered close to the sub
cluster. The combination of results from X-ray, optical, and radio data, and a
comparison to a hydrodynamical simulation suggest that the sub cluster has
passed by the main cluster off-axis and a fraction of its gas has been stripped
off during this process. Furthermore, for this merging system, simple effects
are illustrated which can affect the use of clusters as cosmological probes.
Specifically, double clusters may affect estimates of the cluster number
density when treated as a single system. Mergers, as well as cool cores, can
alter the X-ray luminosity and temperature measured for clusters, causing these
values to differ from those expected in equilibrium.
","[{""version"":""v1"",""created"":""Sat, 16 Aug 2003 18:57:28 GMT""},{""version"":""v2"",""created"":""Wed, 1 Sep 2004 17:45:11 GMT""}]","2009-11-10"
"astro-ph/0308283","M. Rowan-Robinson","ELAIS Consortium: M.Rowan-Robinson, C.Lari, I.Perez-Fournon,
  E.A.Gonzalez-Solares, F.La Franca, M.Vaccari, S.Oliver, C.Gruppioni,
  P.Ciliegi, P.Heraudeau, S.Serjeant, A.Efstathiou, T.Babbedge, I.Matute,
  F.Pozzi, A.Franceschini, P.Vaisanen, et al","The European Large Area ISO Survey (ELAIS): The Final Band-merged
  Catalogue","21 pages, 31 figures. Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.351:1290,2004","10.1111/j.1365-2966.2004.07868.x",,"astro-ph",,"  We present the final band-merged ELAIS catalogue at 6.7, 15, 90, and 175
$\mu$m, and the associated data at u,g,r,i,z,J,H,K, and 20cm. The origin of the
survey, infrared and radio observations, data-reduction and optical
identifications are briefly reviewed, and a summary of the area covered, and
completeness limit for each infrared band is given. A detailed discussion of
the band-merging and optical association strategy is given. The total
catalogues consists of 2860 sources. For extragalactic sources observed in 3 or
more infrared bands, colour-colour diagrams are presented and discussed in
terms of the contributing infrared populations. Spectral energy distributions
are shown for selected sources and compared with cirrus, M82 and Arp220
starburst, and AGN dust torus models.
  Spectroscopic redshifts are tabulated, where available. For the N1 and N2
areas, the INT ugriz Wide Field Survey, permits photometric redshifts to be
estimated for galaxies and quasars. These agree well with the spectroscopic
redshifts, within the uncertainty of the photometric method. The redshift
distribution is given for selected ELAIS bands and colour-redshift diagrams are
discussed.
  There is a high proportion of ultraluminous infrared galaxies in the ELAIS
Catalogue ($> 10 %$ of 15 $\mu$m sources), many with Arp220-like colours. 10
hyperluminous infrared galaxies and 10 EROs are found in the survey. The large
numbers of ultraluminous galaxies imply very strong evolution in the
star-formation rate between z = 0 and 1.
","[{""version"":""v1"",""created"":""Sat, 16 Aug 2003 19:57:22 GMT""},{""version"":""v2"",""created"":""Thu, 21 Aug 2003 20:55:46 GMT""},{""version"":""v3"",""created"":""Fri, 2 Apr 2004 13:29:54 GMT""}]","2012-08-27"
"astro-ph/0308284","Xinhe Meng","Xinhe Meng, Peng Wang (Nankai U.)","Palatini formulation of modified gravity with squared scalar curvature","10 pages, no figures",,"10.1023/B:GERG.0000048981.40061.63",,"astro-ph",,"  In this paper we derive the Modified Friedmann equation in the Palatini
formulation of $R^2$ gravity. Then we use it to discuss the problem of whether
in Palatini formulation a $R^2$ term can drive an inflation. We show that the
Palatini formulation of $R^2$ gravity cannot lead to gravity-driven inflation.
If considering no zero radiation and matter energy densities, we show that only
under rather restrictive assumption about the radiation and matter energy
densities there will be a mild power-law inflation $a\sim t^2$.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 2003 04:05:52 GMT""},{""version"":""v2"",""created"":""Thu, 21 Aug 2003 05:07:33 GMT""},{""version"":""v3"",""created"":""Sun, 7 Sep 2003 07:52:13 GMT""},{""version"":""v4"",""created"":""Wed, 22 Oct 2003 01:09:38 GMT""},{""version"":""v5"",""created"":""Sun, 29 Aug 2004 12:38:00 GMT""}]","2009-11-10"
"astro-ph/0308285","Doron Chelouche","Doron Chelouche (Tel-Aviv University)","Strong Gravitational Lensing and the Structure of Quasar Outflows","4 pages, 1 figure, accepted for publication in ApJL","Astrophys.J.596:L43-L46,2003","10.1086/379031",,"astro-ph",,"  We show that by analyzing the spectra of lensed broad absorption line quasars
(BALQSOs), it is possible to reveal key properties of the outflowing gas in the
inner regions of these objects. This results from the fact that each image of
the quasar corresponds to a different line of sight through the outflow. This
combined with dynamical estimates for the location of the flow, adds new
information concerning the lateral, non line of sight structure of the
absorbing gas. Here we consider a sample of lensed BALQSOs and note that the
similarity of BAL profiles of different images of the same quasar implies that
the flow is relatively isotropic on small scales. We show that its geometry is
inconsistent with the ballistically accelerated spherical cloud model, and that
wind models provide a better description of the flow structure. Furthermore,
observations seem to disagree with naive interpretations of recent
time-dependent wind simulations. This may hint on several important physical
processes that govern the structure and dynamics of such flows. Future
prospects for the study of quasar outflows with the effect of strong
gravitational lensing are discussed.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 2003 11:39:08 GMT""}]","2009-11-10"
"cond-mat/0308328","James R. Thompson","J.R. Thompson, H.J. Kim, C. Cantoni, D.K. Christen, R. Feenstra, D.T.
  Verebelyi","Self-organized current transport through low angle grain boundaries in
  YBa$_2$Cu$_3$O$_{7-\delta}$ thin films, studied magnetometrically","8 pages, including 7 figures",,"10.1103/PhysRevB.69.104509",,"cond-mat.supr-con",,"  The critical current density flowing across low angle grain boundaries in
YBa$_2$Cu$_3$O$_{7-\delta}$ thin films has been studied magnetometrically.
Films (200 nm thickness) were deposited on SrTiO$_3$ bicrystal substrates
containing a single [001] tilt boundary, with angles of 2, 3, 5, and 7 degrees,
and the films were patterned into rings. Their magnetic moments were measured
in applied magnetic fields up to 30 kOe at temperatures of 5 - 95 K; current
densities of rings with or without grain boundaries were obtained from a
modified critical state model. For rings containing 5 and 7 degree boundaries,
the magnetic response depends strongly on the field history, which arises in
large part from self-field effects acting on the grain boundary.
","[{""version"":""v1"",""created"":""Sat, 16 Aug 2003 20:13:27 GMT""}]","2009-11-10"
"cond-mat/0308330","Ajay Gopinathan","Ajay Gopinathan","Kinetic Self-Assembly of Metals on Co-polymer Templates","18 pages, 18 figures, submitted to Phys. Rev. E",,,,"cond-mat.mtrl-sci cond-mat.soft",,"  In this work we seek to understand some of the fundamental processes that
govern self-assembly at the nanoscale in the context of the formation of
metallic structures on patterned co-polymer templates. To this end we focus on
the experiments conducted by Lopes {\it et al} (Nature, 2001), where
morphologies resulting from the evaporation-deposition of different metals on
PS-b-PMMA phase separated templates were studied. We show that the different
morphologies obtained can be understood in terms of the relative importance of
the energetics and kinetics. We then focus on a particular morphology: micron
long wire-like states obtained by the evaporation-deposition of silver on the
template. We show the existence of ``non-trivial'' correlations between
adjacent wires that can be understood based on a purely kinetic mechanism. We
also compare these correlations quantitatively to those obtained from
simulations done with the relevant experimental parameters and find them in
good agreement.
","[{""version"":""v1"",""created"":""Sat, 16 Aug 2003 21:03:25 GMT""}]","2007-05-23"
"cond-mat/0308331","Gorban","A.N. Gorban, I.V. Karlin","Geometry of irreversibility: The film of nonequilibrium states","69 pages, 10 eps figures",,,,"cond-mat.stat-mech math-ph math.MP nlin.CD physics.comp-ph",,"  A general geometrical framework of nonequilibrium thermodynamics is
developed. The notion of macroscopically definable ensembles is developed. The
thesis about macroscopically definable ensembles is suggested. This thesis
should play the same role in the nonequilibrium thermodynamics, as the
Church-Turing thesis in the theory of computability. The primitive
macroscopically definable ensembles are described. These are ensembles with
macroscopically prepared initial states. The method for computing trajectories
of primitive macroscopically definable nonequilibrium ensembles is elaborated.
These trajectories are represented as sequences of deformed equilibrium
ensembles and simple quadratic models between them. The primitive
macroscopically definable ensembles form the manifold in the space of
ensembles. We call this manifold the film of nonequilibrium states. The
equation for the film and the equation for the ensemble motion on the film are
written down. The notion of the invariant film of non-equilibrium states, and
the method of its approximate construction transform the the problem of
nonequilibrium kinetics into a series of problems of equilibrium statistical
physics. The developed methods allow us to solve the problem of macro-kinetics
even when there are no autonomous equations of macro-kinetics.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 2003 12:32:35 GMT""}]","2007-05-23"
"cond-mat/0308332","Yasuhiro Hatsugai","Y. Hatsugai, S. Ryu, M. Kohmoto","Superconductivity and Abelian Chiral Anomalies","An example with a figure and discussions are supplemented",,"10.1103/PhysRevB.70.054502",,"cond-mat.supr-con cond-mat.mes-hall",,"  Motivated by the geometric character of spin Hall conductance, the
topological invariants of generic superconductivity are discussed based on the
Bogoliuvov-de Gennes equation on lattices.
  They are given by the Chern numbers of degenerate condensate bands for
unitary order, which are realizations of Abelian chiral anomalies for
non-Abelian connections. The three types of Chern numbers for the $x,y$ and
$z$-directions are given by covering degrees of some doubled surfaces around
the Dirac monopoles. For nonunitary states, several topological invariants are
defined by analyzing the so-called $q$-helicity. Topological origins of the
nodal structures of superconducting gaps are also discussed.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 2003 13:42:03 GMT""},{""version"":""v2"",""created"":""Wed, 12 Nov 2003 04:43:25 GMT""}]","2016-08-31"
"cond-mat/0308334","Laflorencie","Nicolas Laflorencie, Didier Poilblanc and Anders W. Sandvik","Magnetic ordering in a doped frustrated spin-Peierls system","Published version, 4 pages, 5 figures","Phys. Rev. B 69, 212412 (2004)","10.1103/PhysRevB.69.212412",,"cond-mat.str-el",,"  Based on a model of a quasi-one dimensional spin-Peierls system doped with
non-magnetic impurities, an effective two-dimensional Hamiltonian of randomly
distributed S=1/2 spins interacting via long-range pair-wise interaction is
studied using a stochastic series expansion quantum Monte Carlo method. The
susceptibility shows Curie-like behavior at the lowest temperatures reached
although the staggered magnetisation is found to be finite for $T\to 0$. The
doping dependance of the corresponding three-dimensional Neel temperature is
also computed.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 2003 15:36:14 GMT""},{""version"":""v2"",""created"":""Wed, 20 Aug 2003 15:42:18 GMT""},{""version"":""v3"",""created"":""Thu, 21 Aug 2003 08:02:10 GMT""},{""version"":""v4"",""created"":""Thu, 23 Oct 2003 12:16:53 GMT""},{""version"":""v5"",""created"":""Mon, 16 Aug 2004 16:05:25 GMT""}]","2009-11-10"
"gr-qc/0308053","Lorenzo Iorio","Lorenzo Iorio","On the impossibility of measuring a galvano-gravitomagnetic effect with
  current carrying semiconductors in a space-based experiment","LaTex2e, 7 pages, 1 table, no figures. Small typos corrected.
  Numerical error corrected in eq. (15) and eq. (16). One reference replaced.
  Accepted for publication in Classical and Quantum Gravity","Class.Quant.Grav. 21 (2004) 2065-2070","10.1088/0264-9381/21/8/010",,"gr-qc",,"  In this paper we investigate the feasibility of a recently proposed
space-based experiment aimed to the detection of the effect of the Earth
gravitomagnetic field in spaceborne semiconductors carrying radial electric
currents and following identical circular equatorial orbits along opposite
directions. It turns out that the deviations from this idealized situation due
to the unavoidable orbital injection errors would make impossible the
measurement of the gravitomagnetic voltage of interest.
","[{""version"":""v1"",""created"":""Sat, 16 Aug 2003 22:05:11 GMT""},{""version"":""v2"",""created"":""Fri, 3 Oct 2003 13:32:09 GMT""},{""version"":""v3"",""created"":""Thu, 5 Feb 2004 06:58:15 GMT""}]","2007-05-23"
