"astro-ph/0309800","Neal Weiner","Rob Fardon, Ann E. Nelson, and Neal Weiner (UW)","Dark Energy from Mass Varying Neutrinos","26 pages, 3 figures, refs added, typos corrected, comment added about
  possible matter effects","JCAP 0410:005,2004","10.1088/1475-7516/2004/10/005","UW/PT 03-22","astro-ph hep-ph hep-th",,"  We show that mass varying neutrinos (MaVaNs) can behave as a negative
pressure fluid which could be the origin of the cosmic acceleration. We derive
a model independent relation between the neutrino mass and the equation of
state parameter of the neutrino dark energy, which is applicable for general
theories of mass varying particles. The neutrino mass depends on the local
neutrino density and the observed neutrino mass can exceed the cosmological
bound on a constant neutrino mass. We discuss microscopic realizations of the
MaVaN acceleration scenario, which involve a sterile neutrino. We consider
naturalness constraints for mass varying particles, and find that both ev
cutoffs and ev mass particles are needed to avoid fine-tuning. These
considerations give a (current) mass of order an eV for the sterile neutrino in
microscopic realizations, which could be detectable at MiniBooNE. Because the
sterile neutrino was much heavier at earlier times, constraints from big bang
nucleosynthesis on additional states are not problematic. We consider regions
of high neutrino density and find that the most likely place today to find
neutrino masses which are significantly different from the neutrino masses in
our solar system is in a supernova. The possibility of different neutrino mass
in different regions of the galaxy and the local group could be significant for
Z-burst models of ultra-high energy cosmic rays. We also consider the cosmology
of and the constraints on the ``acceleron'', the scalar field which is
responsible for the varying neutrino mass, and briefly discuss neutrino density
dependent variations in other constants, such as the fine structure constant.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:40:39 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 2003 20:25:51 GMT""}]","2009-11-10"
"astro-ph/0309819","Mauro Orlandini","M. Orlandini (1), C. Bartolini (2), S. Campana (3), S. Del Sordo (4),
  D. de Martino (5), F. Frontera (1,6), A. Guarnieri (2), G. Israel (7), N.
  Masetti (1), E. Palazzi (1), A. Piccioni (2), A. Santangelo (4), L. Stella
  (7) ((1) IASF Bologna/CNR, (2) Astronomy Dept, Bologna, (3) Brera
  Observatory, (4) IASF Palermo/CNR, (5) Capodimonte Observatory, (6) Physics
  Dept, Ferrara, (7) Monteporzio Observatory)","X-ray/optical observations of A0535+26/HDE 245770 in quiescence","10 Pages, 8 figures. To appear in Proc. of the BeppoSAX Symposium:
  ""The Restless High-Energy Universe"", E.P.J. van den Heuvel, J.J.M. in 't
  Zand, and R.A.M.J. Wijers (Eds)","Nucl.Phys.Proc.Suppl.132:476-485,2004","10.1016/j.nuclphysbps.2004.04.082",,"astro-ph",,"  We present the result of three BeppoSAX observations of the X-ray binary
pulsar A0535+26 in its quiescent state. The source is quite well detected up to
200 keV (6 sigma detection in the stronger observation). No Iron line is
detected in the MECS data (3 sigma upper limit on its equivalent width of 150
eV). There is evidence of a soft excess below 2 keV. Pulsation is detected in
all energy bands up to 10 keV, with a pulsed fraction of ~ 0.5, not varying
with energy. There is a marginal detection (4 sigma) of a cyclotron resonance
feature (CRF) at 118 +/- 20 keV in the PDS spectrum. During the BeppoSAX
observations HDE 245770, the optical counterpart to A0535+26, was monitored
spectroscopically and photometrically. These observations show that the Halpha
and Hbeta lines previously observed in absorption returned in emission,
indicating that the Be disk formed again. The presence of pulsation and a CRF
is a clear indication that accretion onto the polar caps is occurring, and that
the propeller mechanism is leaking. The presence of a soft excess could be
explained either in terms of thermal emission (kT ~ 1.2 keV) from the neutron
star surface, as observed in other accreting X-ray pulsars, or in terms of an
overabundance of Mg in the circumstellar matter.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:04:19 GMT""}]","2009-11-10"
"astro-ph/0309823","Kenneth F. Nicholson","Kenneth F Nicholson","Errors in equations for galaxy rotation speeds","7 pages, 3 figures, replace to add paper no. and date to PDF",,,,"astro-ph",,"  Shown are the errors and difficulties of the equations used for galaxy
rotation speeds in the book ""Galactic Dynamics"" (Binney and Tremaine). A usable
and accurate set of equations is then presented. The new equations allow easy
determination of galaxy mass distribution from the rotation profile with no
need for dark matter or any knowledge of galaxy surface light.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:01:03 GMT""}]","2007-05-23"
"astro-ph/0309826","Daniel MacMillan S.","D. S. MacMillan","Quasar Apparent Proper Motion Observed by Geodetic VLBI Networks","5 pages, 4 figures, Future Directions in High Resolution Astronomy:
  The 10th Anniversary of the VLBA",,,,"astro-ph",,"  In our standard geodetic VLBI solutions, we estimate the positions of quasars
assuming that their positions do not vary in time. However, in solutions
estimating proper motion, a significant number of quasars show apparent proper
motion greater than 50 uas/yr. For individual quasars, there are source
structure effects that cause apparent proper motion. To examine how coherent
the pattern of apparent proper motion is over the sky, we have estimated the
vector spherical harmonic components of the observed proper motion using VLBI
data from 1980 to 2002. We discuss the physical interpretation of the estimated
harmonic components.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:00:17 GMT""}]","2007-06-13"
"astro-ph/0309827","Robert Zinn","Robert Zinn (Yale University), A. Katherina Vivas (CIDA), Carme
  Gallart (IAC), and Rebeccah Winnick (Yale University)","Halo Substructure in the QUEST RR Lyrae Survey","8 pages, 5 figures, proceedings of the conference ""Satellites and
  Tidal Streams"", La Palma 26-30 May 2003, Spain, ASP Conference Series",,,,"astro-ph",,"  A survey of 380 sq. deg. of the sky with the 1m Schmidt telescope at the
Observatorio Nacional de Llano del Halo and the QUEST camera has found 498 RR
Lyrae variables lying from 4 to 60 kpc from the Sun. We describe the halo
substructure revealed by these data and the results of measuring some of the
stars' radial velocities and metal abundances.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:09:42 GMT""}]","2007-05-23"
"astro-ph/0309828","Patrick M. Motl","P. M. Motl (1), J. O. Burns (1), M. L. Norman (2), G. L. Bryan (3) (1
  University of Colorado, Boulder) (2 University of California, San Diego) (3
  University of Oxford)","The Impact of Star Formation on Cool Core Galaxy Clusters","Poster presentation for ``The Riddle of Cooling Flows in Galaxies and
  Clusters of Galaxies'' held at Charlottesville, VA USA May 31 - June 4 2003.
  Proceedings at http://www.astro.virginia.edu/coolflow, eds T. H. Reiprich, J.
  C. Kempner and N. Soker. 5 pages, 4 figures",,,,"astro-ph",,"  We present results from recent simulations of the formation and evolution of
clusters of galaxies in a LambdaCDM cosmology. These simulations contain our
most physically complete input physics to date including radiative cooling,
star formation that transforms rapidly cooling material into aggregate star
particles and we also model the thermal feedback from resulting supernovae in
the star particles. We use an adaptive mesh refinement (AMR) Eulerian
hydrodynamics scheme to obtain very high spatial resolution (~ 2 kpc) in a
computational volume 256 Mpc on a side with mass resolution for dark matter and
star particles of ~ 10^8 M_solar. We examine in detail the appearance and
evolution of the core region of our simulated clusters.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:18:40 GMT""}]","2007-05-23"
"astro-ph/0309829","Simon Goodwin","Simon P Goodwin, A P Whitworth & D. Ward-Thompson","Simulating star formation in molecular cloud cores I. The influence of
  low levels of turbulence on fragmentation and multiplicity","20 pages, 12 figures submitted to A&A","Astron.Astrophys.414:633-650,2004","10.1051/0004-6361:20031594",,"astro-ph",,"  We present the results of an ensemble of simulations of the collapse and
fragmentation of dense star-forming cores. We show that even with very low
levels of turbulence the outcome is usually a binary, or higher-order multiple,
system. We take as the initial conditions for these simulations a typical
low-mass core, based on the average properties of a large sample of observed
cores. All the simulated cores start with a mass of $M = 5.4 M_{\odot}$, a
flattened central density profile, a ratio of thermal to gravitational energy
$\alpha_{\rm therm} = 0.45$ and a ratio of turbulent to gravitational energy
$\alpha_{\rm turb} = 0.05 $. Even this low level of turbulence is sufficient to
produce multiple star formation in 80% of the cores; the mean number of stars
and brown dwarfs formed from a single core is 4.55, and the maximum is 10. At
the outset, the cores have no large-scale rotation. The only difference between
each individual simulation is the detailed structure of the turbulent velocity
field. The multiple systems formed in the simulations have properties
consistent with observed multiple systems. Dynamical evolution tends
preferentially to eject lower mass stars and brown dwarves whilst hardening the
remaining binaries so that the median semi-major axis of binaries formed is
$\sim 30$ au. Ejected objects are usually single low-mass stars and brown
dwarfs, yielding a strong correlation between mass and multiplicity. Our
simulations suggest a natural mechanism for forming binary stars that does not
require large-scale rotation, capture, or large amounts of turbulence.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:26:12 GMT""}]","2009-11-10"
"astro-ph/0309830","Michael Bazot","Michael Bazot, Sylvie Vauclair","Seismic tests of accretion in central stars of planetary systems","4 pages, 2 figures, ASP Conferences Series, D.W. Kurtz & Karen
  Pollarrd, Eds",,,,"astro-ph",,"  Central stars of extra-solar planetary systems are metal-rich. Planet
accretion or initial surmetallicity can explain this observationnal fact. These
scenarios can be tested with asteroseismology. We calibrate two stellar models,
one with accretion and one with high initial metallicity, in order to obtain
the same external parameters for both of them. We then compare their internal
structures and their oscillation frequencies.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:27:30 GMT""}]","2007-05-23"
"astro-ph/0309831","Gilles Theureau","Gilles Theureau","Migale : A Multiparametric Virtual Instrument to Study Galaxy Evolution","09/2003 Rencontres de Blois proceedings",,,,"astro-ph",,"  Galaxy evolution is a complex process where both the inner evolution of
stellar population, gas and dust, and the external effects, like interactions
and exchanges with the environment, have to be taken into account. It has been
fundamental in the last years to be able to build and use homogeneous
catalogues both in the local and the far universe. The observation of galaxy
morphology and kinematics as a function of the redshift is indeed necessary to
disentangle the various galaxy formation and evolution scenarios. Some years
ago, the hyperleda extragalactic database was designed to study the local
universe from the point of view of both stellar populations and galaxies
kinematics and dynamics. Today it contains homogeneous data for about 3
millions of galaxies, with for each up to 80 astrophysical parameters
available. We will describe here the MIGALE project which emcompasses the
HyperLeda databases plus a series of tools developed to study the dynamical,
chemical and morphological evolution of galaxies. It will include, in
particular, methods to analyse the GIRAFFE cosmological fields (IFU
spectroscopy) and compare them with the Local Universe.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:55:50 GMT""}]","2007-05-23"
"astro-ph/0309832","Andreas Mueller","Andreas Mueller and Max Camenzind","Relativistic emission lines from accreting black holes - The effect of
  disk truncation on line profiles","20 pages, 24 figures, accepted for publication in A&A","Astron.Astrophys.413:861-878,2004","10.1051/0004-6361:20031522",,"astro-ph",,"  Relativistic emission lines generated by thin accretion disks around rotating
black holes are an important diagnostic tool for testing gravity near the
horizon. The iron K-line is of special importance for the interpretation of the
X-ray emission of Seyfert galaxies, quasars and galactic X-ray binary systems.
A generalized kinematic model is presented which includes radial drifts and
non-Keplerian rotations for the line emitters. The resulting line profiles are
obtained with an object-oriented ray tracer operating in the curved Kerr
background metric. The general form of the Doppler factor is presented which
includes all kinds of poloidal and toroidal motions near the horizon. The
parameters of the model include the spin parameter, the inclination, the
truncation and outer radius of the disk, velocity profiles for rotation and
radial drift, the emissivity profile and a multi-species line-system. The red
wing flux is generally reduced when radial drift is included as compared to the
pure Keplerian velocity field. All resulting emission line profiles can be
classified as triangular, double-horned, double-peaked, bumpy and
shoulder-like. Of particular interest are emission line profiles generated by
truncated standard accretion disks (TSD). It is also shown that the emissivity
law has a great influence on the profiles. The characteristic shoulder-like
line profile observed for the Seyfert galaxy MCG-6-30-15 can be reproduced for
suitable parameters
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:24:04 GMT""}]","2009-11-10"
"astro-ph/0309833","Ewald Mueller","Ewald Mueller, Markus Rampp, Robert Buras, H.-Thomas Janka
  (Max-Planck-Institut fuer Astrophysik, Garching, Germany) and David
  H.Shoemaker (LIGO Project, MIT, Cambridge, USA)","Towards Gravitational Wave Signals from Realistic Core Collapse
  Supernova Models","9 pages, 13 figures, Latex, submitted to ApJ, error in ps-file fixed;
  figures in full resolution are available upon request","Astrophys.J.603:221-230,2004","10.1086/381360",,"astro-ph",,"  We have computed the gravitational wave signal from supernova core collapse
using the presently most realistic input physics available. We start from
state-of-the-art progenitor models of rotating and non-rotating massive stars,
and simulate the dynamics of their core collapse by integrating the equations
of axisymmetric hydrodynamics together with the Boltzmann equation for the
neutrino transport including an elaborate description of neutrino interactions,
and a realistic equation of state. We compute the quadrupole wave amplitudes,
the Fourier wave spectra, the amount of energy radiated in form of
gravitational waves, and the S/N ratios for the LIGO and the tuned Advanced
LIGO interferometers resulting both from non-radial mass motion and anisotropic
neutrino emission. The simulations demonstrate that the dominant contribution
to the gravitational wave signal is produced by neutrino-driven convection
behind the supernova shock. For stellar cores rotating at the extreme of
current stellar evolution predictions, the core-bounce signal is detectable
with advanced LIGO up to a distance of 5kpc, whereas the signal from post-shock
convection is observable up to a distance of about 100kpc. If the core is
non-rotating its gravitational wave emission can be measured up to a distance
of 15kpc, while the signal from the Ledoux convection in the deleptonizing,
nascent neutron star can be detected up to a distance of 10kpc. Both kinds of
signals are generically produced by convection in any core collapse supernova.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:25:04 GMT""},{""version"":""v2"",""created"":""Wed, 1 Oct 2003 14:25:02 GMT""}]","2009-11-10"
