"astro-ph/0310780","Stanislav Boldyrev","Stanislav Boldyrev and Fausto Cattaneo (U. Chicago)","On magnetic field generation in Kolmogorov turbulence","4 pages, revised, new material added","Phys.Rev.Lett. 92 (2004) 144501","10.1103/PhysRevLett.92.144501",,"astro-ph physics.flu-dyn",,"  We analyze the initial, kinematic stage of magnetic field evolution in an
isotropic and homogeneous turbulent conducting fluid with a rough velocity
field, v(l) ~ l^alpha, alpha<1. We propose that in the limit of small magnetic
Prandtl number, i.e. when ohmic resistivity is much larger than viscosity, the
smaller the roughness exponent, alpha, the larger the magnetic Reynolds number
that is needed to excite magnetic fluctuations. This implies that numerical or
experimental investigations of magnetohydrodynamic turbulence with small
Prandtl numbers need to achieve extremely high resolution in order to describe
magnetic phenomena adequately.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:39:56 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 2003 18:07:55 GMT""}]","2007-05-23"
"astro-ph/0310796","Robert I. Hynes","R.I. Hynes (University of Texas at Austin), P.A. Charles (Southampton
  University), L. van Zyl (Keele University), A. Barnes (Southampton
  University), D. Steeghs (Harvard Smithsonian CfA), K. O'Brien (ESO), J.
  Casares (IAC)","Spectroscopy of the Optical Counterpart to Ser X-1","6 pages, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 348 (2004) 100","10.1111/j.1365-2966.2004.07347.x",,"astro-ph",,"  We present WHT and VLT spectroscopy of MM Ser, the optical counterpart to Ser
X-1. We deblend the red spectra of the two close stars identified by Wachter
(1997) and show that the brighter of the two is responsible for the Halpha and
HeI emission, hence confirming that this is the true counterpart of the X-ray
source. We also identify several HeII and NIII lines in the blue spectrum. The
isolated emission lines are all remarkably narrow, with FWHM 200-300 km/s. The
Bowen blend has structure suggesting that the individual components are also
narrow. These narrow lines could be from the disc if the binary inclination is
quite low, or they could come from a more localised region such as the heated
face of the companion star. Several interstellar lines are detected and
indicate that the reddening is moderate, and consistent with the neutral
hydrogen column density inferred in X-rays.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:08:10 GMT""}]","2009-11-10"
"astro-ph/0310797","Santiago Garcia-Burillo","S. Garcia-Burillo, F. Combes, A. Eckart, L. J. Tacconi, L. K. Hunt, S.
  Leon, A. J. Baker, P. Englmaier, F. Boone, E. Schinnerer and R. Neri","NUclei of GAlaxies (NUGA): the IRAM Survey of Low Luminosity AGN","Contributed Talk to the 4th Cologne-Bonn-Zermatt-Symposium: The Dense
  Interstellar Medium in Galaxies, September 2003. Conference Proceedings",,"10.1007/978-3-642-18902-9_23",,"astro-ph",,"  The NUGA project is the first high-resolution (0.5''-1'') CO survey of low
luminosity AGN including the full sequence of activity types (Seyfert 1--2 and
LINERs). NUGA aims to study systematically the different mechanisms for gas
fueling of the AGN. In order to reach the critical spatial scales for AGN
feeding (<100 pc), we are undertaking high-resolution observations, made at the
Plateau de Bure Interferometer, to achieve a sharp view of the distribution and
kinematics of molecular gas. In this talk we discuss the latest results of this
survey which now includes newly acquired subarcsec resolution observations for
5 targets of our sample. The large variety of circumnuclear disk morphologies
found in NUGA galaxies (m=1, m=2 and m=0-type gravitational instabilities) is a
challenging result that urges the refinement of current dynamical models.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:01:40 GMT""}]","2017-01-18"
"astro-ph/0310798","Nicola R. Napolitano","N.R. Napolitano (1), M. Capaccioli (2), M. Arnaboldi (3), M.R.
  Merrifield (4), N.G. Douglas (1), K. Kuijken (1,5), A.J. Romanowsky (4), K.C.
  Freeman (6) ((1) Kapteyn Institute, Groningen; (2) INAF-Osservatorio
  Astronomico di Capodimonte, Naples; (3) INAF- Osservatorio Astronomico di
  Pino Torinese, Turin; (4) School of Physics & Astronomy, University of
  Nottingham; (5) University of Leiden; (6) RSAA, Mt. Stromlo Observatory)","Is there a dichotomy in the Dark Matter as well as in the Baryonic
  Matter properties of ellipticals?","2 pages, 1 figure. To appear in the proceedings of the IAU Symposium
  220 ""Dark matter in galaxies"", eds. S. Ryder, D.J. Pisano, M. Walker and K.C.
  Freeman",,,,"astro-ph",,"  We have found a correlation betwen the M/L global gradients and the
structural parameters of the luminous components of a sample of 19 early-type
galaxies. Such a correlation supports the hypothesis that there is a connection
between the dark matter content and the evolution of the baryonic component in
such systems.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:10:22 GMT""}]","2007-05-23"
"astro-ph/0310799","Filippo Fraternali","Filippo Fraternali (ASTRON), Tom Oosterloo (ASTRON), Rense Boomsma
  (Kapteyn Institute), Rob Swaters (JHU), Renzo Sancisi (INAF-Bologna)","High Velocity Gas in the Halos of Spiral Galaxies","6 pages, 4 figures. To appear in the ASP proceedings of IAU Symposium
  217, ""Recycling intergalactic and interstellar matter"", eds. Pierre-Alain
  Duc, Jonathan Braine, Elias Brinks",,,,"astro-ph",,"  Recent, high sensitivity, HI observations of nearby spiral galaxies show that
their thin `cold' disks are surrounded by thick layers (halos) of neutral gas
with anomalous kinematics. We present results for three galaxies viewed at
different inclination angles: NGC891 (edge-on), NGC2403 (i=60 deg), and NGC6946
(almost face-on). These studies show the presence of halo gas up to distances
of 10-15 kpc from the plane. Such gas has a mean rotation 25-50 km/s lower than
that of the gas in the plane, and some complexes are detected at very high
velocities, up to 200-300 km/s. The nature and origin of this halo gas are
poorly understood. It can either be the result of a galactic fountain or of
accretion from the intergalactic medium. It is probably the analogous of some
of the High Velocity Clouds (HVCs) of the Milky Way.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:13:48 GMT""}]","2007-05-23"
"astro-ph/0310800","Gijs Nelemans","G. Nelemans","Galactic Binaries as Sources of Gravitational Waves","Invited talk to appear in ""The Astrophysics of Gravitational Wave
  Sources"" (Maryland, April 2003), AIP in press, J. Centrella (ed)",,"10.1063/1.1629441",,"astro-ph",,"  I review the expected Galactic sources of gravitational waves, concentrating
on the low-frequency domain and summarise the current observational and
theoretical knowledge we have. A model for the Galactic population of close
binaries, which is tested against the observations is used to predict the
expected signal for the future space based gravitational wave detector LISA.
With a simple model for the electro-magnetic emission from the same binaries I
argue that a fair number of the LISA systems have electro-magnetic
counterparts, which can be used to improve in particular the distance and mass
measurements of these systems by LISA. Furthermore, LISA will enable us to test
some aspects of the theory of binary evolution that are very difficult to asses
in different ways.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:01:09 GMT""}]","2009-11-10"
"astro-ph/0310801","Eamonn Kerins","Eamonn Kerins (Liverpool JMU)","Lighting up the dark and dim in the Andromeda Galaxy","2 pages. To appear in IAU Symposium 220, ""Dark Matter in Galaxies"",
  eds. S. Ryder, D.J. Pisano, M. walker & K. Freeman, Publ. Astron. Soc. Pac",,,,"astro-ph",,"  I discuss current and future applications of pixel lensing: the microlensing
of unresolved stars. Pixel lensing is the tool of choice for studying the Macho
dark matter content of external galaxies like Andromeda (M31), and is at the
heart of an ambitious new proposal to undertake a census of low-mass stars and
brown dwarfs in the M31 bulge.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:01:58 GMT""}]","2007-05-23"
"astro-ph/0310802","Fumie Akimoto","F. Akimoto, K. Kondou, A. Furuzawa, Y. Tawara and K. Yamashita","Spatial Distributions of A3558 in the Core Region of the Shapley
  Supercluster","11 pages, 8 figures, latex","Astrophys.J. 596 (2003) 170-180","10.1086/377629","APJ03-01","astro-ph",,"  The core region is dominated by three rich Abell clusters and two poor
clusters. Their spatial distributions of gas temperature and metal abundance
provide us with information on the interactions and motions of member clusters.
  From eight ASCA pointing observations, temperature, abundance, and X-ray
luminosity for five member clusters are similar to the other field clusters not
belonging to superclusters. This result and the mean gravitational mass density
of the core region indicate that the members are growing in the same way as the
nonmember clusters, and the core of the supercluster is just on the way to
contraction. Based on analyses of detailed spatial structures with a 4'x4'
scale, the three Abell clusters show asymmetric temperature distributions.
A3558 was analyzed with a 2'x2' scale, owing to the statistical advantage, and
it was revealed that A3558 has clear asymmetric distributions of gas
temperature and X-ray surface brightness. This is thought to be caused by
cluster-cluster mergings and/or group infallings. A metal-rich region with the
size of ~320 kpc was also found to the southeast, ~12' away from the cluster
center of A3558. It is expected that either a remnant of a merged core has been
left after a major merging or a group of galaxies has been recently infalling.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:49:20 GMT""}]","2009-11-10"
"astro-ph/0310803","Letizia Stanghellini","Letizia Stanghellini","Magellanic Cloud PNs as probes of stellar evolution and populations","to appear in ""Asymmetrical Planetary Nebulae III"" editors M. Meixner,
  J. Kastner, N. Soker, & B. Balick (ASP Conf. Series)",,,,"astro-ph",,"  Magellanic Cloud Planetary Nebulae (PNs) offer insight of both the population
and evolution of low- and intermediate-mass stars, in environments that are
free of the distance bias and the differential reddening that hinder the
observations of the Galactic sample. The study of LMC and SMC PNs also offers
the direct comparison of stellar populations with different metallicity. We
present a selection of the results from our recent HST surveys, including (1)
the morphological analysis of Magellanic PNs, and the statistics of the
morphological samples in the LMC and the SMC; (2) the surface brightness versus
radius relationship; and (3) the analysis and modeling of the [O III]/H(beta)
PN luminosity functions in the LMC and the SMC.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:26:03 GMT""}]","2007-05-23"
"astro-ph/0310804","Guenther Hasinger","G. Hasinger","The X-ray Background and AGNs","Proceedings of the conference: ""The restless high energy universe"",
  held in Amsterdam, May 2003. To be published in: Nucl. Physics B. Suppl.
  Ser., E.P.J. van den Heuvel, J.J.M. in 't Zand, and R.A.M.J. Wijers (eds.).
  10 pages, 5 figures",,"10.1016/j.nuclphysbps.2004.04.127",,"astro-ph",,"  Deep X-ray surveys have shown that the cosmic X-ray background (XRB) is
largely due to the accretion onto supermassive black holes, integrated over the
cosmic time. These surveys have resolved more than 80% of the 0.1-10 keV X-ray
background into discrete sources. Optical spectroscopic identifications show
that the sources producing the bulk of the X-ray background are a mixture of
unobscured (type-1) and obscured (type-2) AGNs, as predicted by the XRB
population synthesis models. A class of highly luminous type-2 AGN, so called
QSO-2s, has been detected in the deepest Chandra and XMM-Newton surveys. The
new Chandra AGN redshift distribution peaks at much lower redshifts (z~0.7)
than that based on ROSAT data, and the new X-ray luminosity function indicates
that the space density of Seyfert galaxies peaks at significantly lower
redshifts than that of QSOs. It is shown here, that the low redshift peak
applies both to absorbed and unabsorbed AGN and is also seen in the 0.5-2 keV
band alone. Previous findings of a strong dependence of the fraction of type-2
AGN on luminosity are confirmed with better statistics here. Preliminary
results from an 800 ksec XMM-Newton observation of the Lockman Hole are
discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:08:04 GMT""}]","2009-11-10"
"astro-ph/0310805","Didier Saumon","D. Saumon (LANL), M.S. Marley (NASA Ames) and K. Lodders (Washington
  U.)","The Mid-Infrared Spectra of Brown Dwarfs","14 pages, including 3 figures and 1 table. Submitted to ApJ Letters",,,"LA-UR-03-7003","astro-ph",,"  We present an analysis of brown dwarf model spectra in the mid-infrared
spectral region (5 - 20 microns), in anticipation of data obtained with the
Space Infrared Telescope Facility. The mid-infrared spectra of brown dwarfs are
in several ways simpler than those in the near-infrared and yet provide
powerful diagnostics of brown dwarf atmospheric physics and chemistry,
especially when combined with ground-based data. We discuss the possibility of
detection of new molecular species and of the silicate cloud, predict strong
observational diagnostics for non-equilibrium chemistry between CO and CH4, and
N2 and NH3, and speculate on the possibility of discovering brown dwarf
stratospheres.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:20:47 GMT""}]","2007-05-23"
