"astro-ph/0311002","Luis Anchordoqui","Luis A. Anchordoqui, Haim Goldberg, Francis Halzen, and Thomas J.
  Weiler","Galactic Point Sources of TeV Antineutrinos","matches published version","Phys.Lett.B593:42,2004","10.1016/j.physletb.2004.04.054","NUB-3242-Th-03; MADPH-03-1355","astro-ph hep-ph",,"  High energy cosmic ray experiments have identified an excess from the region
of the Galactic Plane in a limited energy range around $10^{18}$ eV (EeV). This
is very suggestive of neutrons as candidate primaries, because the directional
signal requires relatively-stable neutral primaries, and time-dilated neutrons
can reach Earth from typical Galactic distances when the neutron energy exceeds
an EeV. We here point out that if the Galactic messengers are neutrons, then
those with energies below an EeV will decay in flight, providing a flux of
cosmic antineutrinos above a TeV which is {\it observable} at a kilometer-scale
neutrino observatory. The expected event rate per year above 1 TeV in a
detector such as IceCube, for example, is 20 antineutrino showers (all flavors)
and a $1^\circ$ directional signal of 4 $\bar \nu_\mu$ events. A measurement of
this flux can serve to identify the first extraterrestrial point source of TeV
antineutrinos.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 17:33:25 GMT""},{""version"":""v2"",""created"":""Mon, 22 Mar 2004 15:30:12 GMT""},{""version"":""v3"",""created"":""Thu, 19 Aug 2004 15:16:35 GMT""}]","2011-05-12"
"astro-ph/0311008","Jess Bromley","J. M. Bromley, R. S. Somerville and A. C. Fabian","High redshift quasars and the supermassive black hole mass budget:
  constraints on quasar formation models","19 pages, 6 figures, 1 table. v2: Corrected references. v3: Extended
  Section 5.1, corrected Section 3.2, various other corrections and additions
  suggested by referee. Accepted by MNRAS in this form","Mon.Not.Roy.Astron.Soc.350:456,2004","10.1111/j.1365-2966.2004.07650.x",,"astro-ph",,"  We investigate the constraints on models of supermassive black hole (SMBH)
and quasar formation obtainable from two recent observational developments: the
discovery of luminous quasars at z~6, and estimates of the local mass density
of SMBHs. If ~90 per cent of this mass was accreted at redshifts z<3, as
suggested by the observed quasar luminosity functions, these joint constraints
pose a challenge for models, which must account for the observed luminous
quasar population at z~6 within a very limited `mass budget'. We investigate a
class of models based within the hierarchical structure formation scenario, in
which major mergers lead to black hole formation and fuelling, and the
resulting quasars shine at their Eddington-limited rate until their fuel is
exhausted. We show that the simplest such model, in which a constant fraction
of the gas within the halo is accreted in each major merger, cannot satisfy
both constraints simultaneously. When this model is normalized to reproduce the
number density of luminous quasars at z~6, the mass budget is grossly exceeded
due to an overabundance of lower mass SMBHs. We explore a range of
modifications to the simple model designed to overcome this problem. We show
that both constraints can be satisfied if the gas accretion fraction scales as
a function of the halo virial velocity. Similar scalings have been proposed in
order to reproduce the local M-sigma relation. Successful models can also be
constructed by restricting the formation of seed black holes to redshifts above
z~11.5 or to haloes above a velocity threshold ~55 km/s, or assuming that only
a fraction of major mergers result in formation of a seed SMBH. (abridged)
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:56:36 GMT""},{""version"":""v2"",""created"":""Mon, 17 Nov 2003 16:09:12 GMT""},{""version"":""v3"",""created"":""Thu, 22 Jan 2004 17:43:05 GMT""}]","2009-09-17"
"astro-ph/0311023","Alessandro PIzzella","A. Pizzella (1), E. Dalla Bonta'(1), E.M. Corsini (1), L. Coccato (1)
  and F. Bertola (1) ((1) Dipartimento di Astronomia, Universita' di Padova,
  Italy)","The sigma_c-V_c correlation in high and low surface brightness galaxies","2 pages, 2 figures, to appear in Proc. IAU Symp. 220, ""Dark Matter in
  Galaxies"" eds. S. Ryder, D.J. Pisano, M. Walker, & K. Freeman (San Francisco:
  ASP)",,,,"astro-ph",,"  We investigate the relation between the central velocity dispersion, sigma_0,
and the circular velocity, V_c, in galaxies. In addition to previously
available data, we consider an observationally homogeneus sample of 52 high
surface brightness and 11 low surface brightness spiral galaxies. We performed
a straight line regression analysis in a linear scale, finding a good fit, also
for low sigma_0 galaxies, always rejected in the previous studies. Low surface
brightness galaxies seem to behave differently, showing either higher values of
V_c or lower values of sigma_0 with respect to their high surface brightness
counterparts.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:22:16 GMT""}]","2007-05-23"
"astro-ph/0311036","Richardson Lee","L. J. Richardson, D. Deming, & S. Seager","Strong Limits on the Infrared Spectrum of HD 209458 b Near 2.2 Micron","Brief summary of results discussed in Richardson, Deming, and Seager
  (2003, ApJ, 597, 581). This is a summary of a poster presented at the
  conference ""Extrasolar Planets, Today and Tomorrow"" and it will appear in the
  conference proceedings to be published in the ASP Conference Series in 2004",,,,"astro-ph",,"  We present a brief summary of observations of the transiting extrasolar
planet, HD 209458 b, designed to detect the secondary eclipse. We employ the
method of `occultation spectroscopy', which searches in combined light (star
and planet) for the disappearance and reappearance of weak infrared spectral
features due to the planet as it passes behind the star and reappears. We have
searched for a continuum peak near 2.2 micron (defined by CO and H2O absorption
bands), as predicted by some models of the planetary atmosphere to be
approximately 6E-4 of the stellar flux, but no such peak is detected at a level
of about 3E-4 of the stellar flux. Our results represent the strongest limits
on the infrared spectrum of the planet to date and carry significant
implications for understanding the planetary atmosphere.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 16:00:21 GMT""}]","2007-05-23"
"astro-ph/0311037","Giovanni Miniutti","G. Miniutti (1), A. C. Fabian (1), J. M. Miller (2) ((1) Univ. of
  Cambridge IoA, (2) Harvard-Smithsonian CfA)","The Relativistic Fe Emission Line in XTE J1650-500 with BeppoSAX:
  Evidence for Black Hole Spin and Light Bending Effects?","Minor changes in text and in Figures/Tables. Section 3.1.2 added.
  Accepted by MNRAS","Mon.Not.Roy.Astron.Soc.351:466,2004","10.1111/j.1365-2966.2004.07794.x",,"astro-ph",,"  We report spectral results from three BeppoSAX observations of the black hole
candidate XTE J1650-500 during its 2001/2002 outburst. We find strong evidence
for the presence of a broad and strongly relativistic Fe emission line. The
line profile indicates an accretion disc extending down to two gravitational
radii (or less) suggesting the presence of a rapidly rotating central Kerr
black hole. Thanks to the broadband spectral coverage of BeppoSAX, we could
analyze the 1.5-200 keV spectra of the three observations and report the
presence of a strong reflection component from the accretion disc, which is
totally consistent with the observed broad Fe emission line. The shape of the
reflection component appears to be affected by the same special and general
relativistic effects that produce the broad Fe line. We study the variation of
the different spectral components from the first to the third observation and
we find that they are well reproduced by a recently proposed light bending
model.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 16:46:23 GMT""},{""version"":""v2"",""created"":""Mon, 8 Mar 2004 14:34:25 GMT""}]","2009-09-17"
"astro-ph/0311038","Berengere Parise","B. Parise, A. Castets, E. Herbst, E. Caux, C. Ceccarelli, I.
  Mukhopadhyay, A.G.G.M. Tielens","First detection of triply-deuterated methanol","Accepted by A&A","Astronomy and Astrophysics 416 (2004) 159-163","10.1051/0004-6361:20034490",,"astro-ph",,"  We report the first detection of triply-deuterated methanol, with 12 observed
transitions, towards the low-mass protostar IRAS 16293-2422, as well as
multifrequency observations of 13CH3OH, used to derive the column density of
the main isotopomer CH3OH. The derived fractionation ratio [CD3OH]/[CH3OH]
averaged on a 10'' beam is 1.4%. Together with previous CH2DOH and CHD2OH
observations, the present CD3OH observations are consistent with a formation of
methanol on grain surfaces, if the atomic D/H ratio is 0.1 to 0.3 in the
accreting gas. Such a high atomic ratio can be reached in the frame of
gas-phase chemical models including all deuterated isotopomers of H3+.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 16:41:27 GMT""}]","2007-05-23"
"astro-ph/0311039","Thomas Gleissner","T. Gleissner (1), J. Wilms (1), K. Pottschmidt (2 and 3), P. Uttley
  (4), M. A. Nowak (5), R. Staubert (1) ((1) IAA Tuebingen, (2) MPE, (3) ISDC,
  (4) University of Southampton, (5) MIT)","Long Term Variability of Cyg X-1, II. The rms-Flux Relation","14 pages, 1 table, 15 figures, accepted for publication in A&A,
  corrected layout","Astron.Astrophys.414:1091-1104,2004","10.1051/0004-6361:20031684",,"astro-ph",,"  We study the long term evolution of the relationship between the root mean
square (rms) variability and flux (the ``rms-flux relation'') for the black
hole Cygnus X-1 as monitored from 1996 to 2003 with the Rossi X-ray Timing
Explorer (RXTE). We confirm earlier results by Uttley & McHardy (2001) of a
linear relationship between rms and flux in the hard state on time scales > 5 s
reflecting in its slope the fractional rms variability. We demonstrate the
perpetuation of the linear rms-flux relation in the soft and the intermediate
state. The existence of a non-zero intercept in the linear rms-flux relation
argues for two lightcurve components, for example, one variable and one
non-variable component, or a possible constant rms component. The relationship
between these two hypothesized components can be described by a fundamental
dependence of slope and intercept at time scales ~< 10 ksec with long term
averages of the flux.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:53:45 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 2003 13:47:40 GMT""}]","2014-10-13"
"astro-ph/0311040","Emilie Habart","E. Habart, F. Boulanger, L. Verstraete, C.M. Walmsley, G. Pineau des
  Forets","Some empirical estimates of the H2 formation rate in photon-dominated
  regions","A&A in press, 16 pages, 5 figures","Astron.Astrophys. 414 (2004) 531-544","10.1051/0004-6361:20031659",,"astro-ph",,"  We combine recent ISO observations of the vibrational ground state lines of
H2 towards Photon-Dominated Regions (PDRs) with observations of vibrationally
excited states made with ground-based telescopes in order to constrain the
formation rate of H2 on grain surfaces under the physical conditions in the
layers responsible for H2 emission. We use steady state PDR models in order to
examine the sensitivity of different H2 line ratios to the H2 formation rate
Rf. We show that the ratio of the 0-0 S(3) to the 1-0 S(1) line increases with
Rf but that one requires independent estimates of the radiation field incident
upon the PDR and the density in order to infer Rf from the H2 line data. We
confirm the earlier result of Habart et al. (2003) that the H2 formation rate
in regions of moderate excitation such as Oph W, S140 and IC 63 is a factor of
5 times larger than the standard rate inferred from UV observations of diffuse
clouds. On the other hand, towards regions of higher radiation field such as
the Orion Bar and NGC 2023, we derive H2 formation rates consistent with the
standard value. We find also a correlation between the H2 1-0 S(1) line and PAH
emission suggesting that Rf scales with the PAH abundance. With the aim of
explaining these results, we consider some empirical models of the H2 formation
process. Here we consider both formation on big (a~0.1 microns) and small (a~10
Angstroms) grains by either direct recombination from the gas phase or
recombination of physisorbed H atoms with atoms in a chemisorbed site. We
conclude that indirect chemisorption is most promising in PDRs. Moreover small
grains which dominate the total grain surface and spend most of their time at
relatively low temperatures may be the most promising surface for forming H2 in
PDRs.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:58:12 GMT""}]","2009-11-10"
"astro-ph/0311041","Mark Thompson","M.A. Thompson, J.S. Urquhart and G.J. White","A Compact Array imaging survey of southern bright-rimmed clouds","Accepted by A&A. 17 pages. NB: figures presented here are
  low-resolution postscript images. Full resolution images are available from
  the lead author upon request","Astron.Astrophys. 415 (2004) 627-642","10.1051/0004-6361:20031681",,"astro-ph",,"  We have carried out a radio-wavelength imaging survey of 45 bright-rimmed
clouds (BRCs), using the Australia Telescope Compact Array to characterise the
physical properties in their ionised boundary layers. We detected radio
emission from a total of 25 clouds and using a combination of Digitised Sky
Survey and mid-infrared MSX micron images classified the emission into that
associated with the ionised cloud rims, that associated with embedded possible
massive YSOs and that unlikely to be associated with the clouds at all. A total
of 18 clouds display radio emission clearly associated with the cloud rim and
we determine the ionising photon flux illuminating these clouds and the
electron density and pressure of their ionised boundary layers. Using a global
estimate for the interior molecular pressure of these clouds we show that the
majority are likely to be in pressure equilibrium and hence are currently being
shocked by photoionisation-induced shocks. We identify those clouds where the
predicted ionising photon flux is inconsistent with that derived from the
observations and show that either the spectral types of the stars illuminating
the BRCs are earlier than previously thought or that there must be additional
ionising sources within the HII regions. Finally, we identify the radio sources
embedded within the clouds with infrared stellar clusters and show that they
contain late O and early B-type stars, demonstrating that a number of BRCs are
intimately involved with high to intermediate-mass star formation.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:14:36 GMT""}]","2009-11-10"
"astro-ph/0311042","Enrico Maria Corsini","Enrico Maria Corsini (1), J. A. L. Aguerri (2), Victor P. Debattista
  (3) ((1) Universita` di Padova, (2) Instituto de Astrofisica de Canarias, (3)
  Institut fur Astronomie Zurich)","Fast bars in SB0 galaxies","2 pages, 1 figure. To appear in Proc. IAU Symp. 220, ""Dark matter in
  galaxies"", eds. S. Ryder, D.J. Pisano, M. Walker, & K. Freeman (San
  Francisco: ASP)",,,,"astro-ph",,"  We measured the bar pattern speed in a sample of 7 SB0 galaxies using the
Tremaine-Weinberg method. This represents the largest sample of galaxies for
which bar pattern speed has been measured this way. All the observed bars are
as rapidly rotating as they can be. We compared this result with recent
high-resolution N-body simulations of bars in cosmologically-motivated dark
matter halos, and conclude that these bars are not located inside centrally
concentrated halos.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:05:13 GMT""}]","2007-05-23"
"astro-ph/0311043","Michael R. Corbin","Michael R. Corbin, Wolfram Freudling, Kirk. T. Korista","Iron Emission in z ~ 6 QSOs and its Possible Implications","4 pages, to appear in ""AGN Physics with the Sloan Digital Sky
  Survey,"" eds. G.T. Richards and P.B. Hall",,,,"astro-ph",,"  We have obtained low-resolution near-infrared spectra of five SDSS QSOs at
5.3 < z < 6.3 using the NICMOS instrument of the Hubble Space Telescope. We
find evidence of emission in the Fe II complex centered near 2500 A (rest) in
all five objects. We estimate Fe II / Mg II 2800 A flux ratios comparable to
those measured in QSOs at lower redshifts, which indicate metallicities near or
above the solar level. We discuss the possible implications of this result
assuming the iron enrichment to have been produced mainly in Type Ia
supernovae.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:06:29 GMT""}]","2007-05-23"
