"astro-ph/0312567","Timur Rashba","V. B. Semikoz and D. D. Sokoloff","Large-scale magnetic field generation by alpha-effect driven by
  collective neutrino-plasma interaction","11 pages, no figure, extended version accepted in Phys. Rev. Lett","Phys.Rev.Lett. 92 (2004) 131301","10.1103/PhysRevLett.92.131301",,"astro-ph hep-ph",,"  We suggest a new mechanism for generation of large-scale magnetic field in
the hot plasma of early universe which is based on the parity violation in weak
interactions and depends neither on helicity of matter turbulence resulting in
the standard alpha-effect nor on general rotation. The mechanism can result in
a self-excitation of an (almost) uniform cosmological magnetic field.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 17:15:33 GMT""},{""version"":""v2"",""created"":""Sun, 29 Feb 2004 15:09:49 GMT""}]","2009-11-10"
"astro-ph/0312569","Daniela Kirilova F.","D. P. Kirilova","Neutrino Oscillations and the Early Universe","21 p., 6 figures, a review based on raview talk at NCYA Conference
  and a presentation at CAPP2003","Central Eur.J.Phys. 2 (2004) 467-491","10.2478/BF02476426","ULB-TH/03-41, IC/2003/63","astro-ph",,"  The observational and theoretical status of neutrino oscillations in
connection with solar and atmospheric neutrino anomalies is presented in brief.
The effect of neutrino oscillations on the early Universe evolution is
discussed in detail. A short review is given of the standard Big Bang
Nucleosynthesis and the influence of resonant and nonresonant neutrino
oscillations on active neutrinos and on primordial nucleosynthesis of He-4. BBN
cosmological constraints on neutrino oscillation parameters are discussed.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 17:59:05 GMT""}]","2009-11-10"
"astro-ph/0312570","Stacy McGaugh","Stacy McGaugh","Confrontation of MOND Predictions with WMAP First Year Data","ApJ, in press. 33 pages, 7 figures","Astrophys.J. 611 (2004) 26-39","10.1086/421895",,"astro-ph",,"  I present a model devoid of non-baryonic cold dark matter (CDM) which
provides an acceptable fit to the WMAP data for the power spectrum of
temperature fluctuations in the cosmic background radiation (CBR). An a priori
prediction of such no-CDM models was a first-to-second peak amplitude ratio
A1:2 = 2.4. WMAP measures A1:2 = 2.34 +/- 0.09. The baryon content is the
dominant factor in fixing this ratio; no-CDM models which are consistent with
the WMAP data are also consistent with constraints on the baryon density from
the primordial abundances of 2H, 4He, and 7Li. However, in order to match the
modest width of the acoustic peaks observed by WMAP, a substantial neutrino
mass is implied: m(nu) ~ 1 eV. Even with such a heavy neutrino, structure is
expected to form rapidly under the influence of MOND. Consequently, the epoch
of reionization should occur earlier than is nominally expected in LCDM. This
prediction is realized in the polarization signal measured by WMAP. An
outstanding test is in the amplitude of the third acoustic peak. Experiments
which probe high-L appear to favor a third peak which is larger than predicted
by the no-CDM model.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 21:28:52 GMT""},{""version"":""v2"",""created"":""Wed, 31 Mar 2004 23:42:55 GMT""},{""version"":""v3"",""created"":""Thu, 15 Apr 2004 07:05:02 GMT""},{""version"":""v4"",""created"":""Wed, 29 Sep 2004 14:29:49 GMT""}]","2009-11-10"
"astro-ph/0312571","Tommy Grav","Tommy Grav (ITA, University in Oslo & Harvard-Smitsonain CfA) and
  Matthew J. Holman (Harvard-Smithsonian CfA)","Near-Infrared Photometry of Irregular Satellites of Jupiter and Saturn","Accepted by ApJ Letters (emulateapj, 8pages, including 4 figures);
  Typos corrected, references added",,"10.1086/420881",,"astro-ph",,"  We present JHKs photometry of 10 Jovian and 4 Saturnian irregular satellites,
taken with the Near-InfraRed Imager (NIRI) at the 8-m Gemini North Observatory
on Mauna Kea, Hawaii. The observed objects have near-infrared colors consistent
with C, P and D-type asteroids, although J XII Ananke and S IX Phoebe show weak
indications of possible water features in the H filter. The four members of the
Himalia-family have similar near-infrared colors, as do the two members of the
Gallic family, S XX Paaliaq and S XXIX Siarnaq. From low resolution normalized
reflectance spectra based on the broadband colors and covering 0.4 to 2.2
microns, the irregular satellites are identified as C-type (J VII Pasiphae, J
VI Himalia and S IX Phoebe), P-type (J XII Ananke and J XVIII Themisto) and
D-type (J IX Carme and J X Sinope), showing a diversity of origins of these
objects.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 01:12:13 GMT""},{""version"":""v2"",""created"":""Thu, 4 Mar 2004 20:29:03 GMT""}]","2009-11-10"
"astro-ph/0312572","Haojing Yan","Haojing Yan and Rogier A. Windhorst","The Major Sources of the Cosmic Reionizing Background at z ~ 6","ApJL in press (Jan 1, 2004 issue)","Astrophys.J. 600 (2003) L1-L5","10.1086/381573",,"astro-ph",,"  In this paper, we address which sources contributed most of the reionizing
photons. Our argument assumes that the reionization ended around z ~ 6 and that
it was a relatively quick process, i.e., that there was a non-negligible
fraction of neutral hydrogen in the Universe at somewhat earlier epochs.
Starting from our earlier estimate of the luminosity function (LF) of galaxies
at z ~ 6, we quantitatively show that the major sources of reionization are
most likely galaxies with L < L*. Our approach allows us to put stronger
constraints to the LF of galaxies at z ~ 6. To have the Universe completely
ionized at this redshift, the faint-end slope of the LF should be steeper than
$\alpha=-1.6$, which is the value measured at lower redshifts (z ~ 3), unless
either the normalization (Phi*) of the LF or the clumping factor of the ionized
hydrogen has been significantly underestimated. If Phi* is actually lower than
what we assumed by a factor of two, a steep slope close to $\alpha=-2.0$ is
required. Our LF predicts a total of 50 -- 80 z ~ 6 galaxies in the HST Ultra
Deep Field (UDF) to a depth of AB=28.4 mag, which can be used to constraint
both Phi* and $\alpha$. We conclude that the least luminous galaxies existing
at this redshift should reach as low as some critical luminosity in order to
accumulate the entire reionizing photon budget. On the other hand, the
existence of significant amounts of neutral hydrogen at slightly earlier
epochs, e.g. z ~ 7, requires that the least luminous galaxies should not be
fainter than another critical value (i.e., the LF should cut-off at this
point).
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 01:42:25 GMT""}]","2009-11-10"
"astro-ph/0312573","Takeru Ken Suzuki","Takeru K. Suzuki (Kyoto Univ.)","Coronal Heating and Acceleration of the High/Low-Speed Solar Wind by
  Fast/Slow MHD Shock Trains","13 pages, including 5 figures, in MNRAS style, MNRAS in press","Mon.Not.Roy.Astron.Soc. 349 (2004) 1227","10.1111/j.1365-2966.2004.07570.x",,"astro-ph",,"  We investigate coronal heating and acceleration of the high- and low-speed
solar wind in the open field region by dissipation of fast and slow
magnetohydrodynamical (MHD) waves through MHD shocks. Linearly polarized
\Alfven (fast MHD) waves and acoustic (slow MHD) waves travelling upwardly
along with a magnetic field line eventually form fast switch-on shock trains
and hydrodynamical shock trains (N-waves) respectively to heat and accelerate
the plasma. We determine one dimensional structure of the corona from the
bottom of the transition region (TR) to 1AU under the steady-state condition by
solving evolutionary equations for the shock amplitudes simultaneously with the
momentum and proton/electron energy equations. Our model reproduces the overall
trend of the high-speed wind from the polar holes and the low-speed wind from
the mid- to low-latitude streamer except the observed hot corona in the
streamer. The heating from the slow waves is effective in the low corona to
increase the density there, and plays an important role in the formation of the
dense low-speed wind. On the other hand, the fast waves can carry a sizable
energy to the upper level to heat the outer corona and accelerate the
high-speed wind effectively. We also study dependency on field strength, $B_0$,
at the bottom of the TR and non-radial expansion of a flow tube, $f_{\rm max}$,
to find that large $B_0/f_{\rm max}\gtrsim 2$ but small $B_0\simeq 2$G are
favorable for the high-speed wind and that small $B_0/f_{\rm max}\simeq 1$ is
required for the low-speed wind.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 03:36:46 GMT""}]","2009-11-10"
"astro-ph/0312574","Takeru Ken Suzuki","Takeru K. Suzuki (Kyoto Univ) and Susumu Inoue (Max-Planck-Institut
  fur Astrophysik)","Cosmic Ray Production of $^6$Li by Virialization Shocks in the Early
  Milky Way","4 pages including 1 figure, will be in PASA (a talk at Galactic
  ChemoDynamics V, Melbourne Australia, July 2003)",,,,"astro-ph",,"  The energy dissipated by virialization shocks during hierarchical structure
formation of the Galaxy can exceed that injected by concomitant supernova (SN)
explosions. Cosmic rays (CRs) accelerated by such shocks may therefore dominate
over SNe in the production of $^6$Li through $\alpha + \alpha$ fusion without
co-producing Be and B. This process can give a more natural account of the
observed $^6$Li abundance in metal-poor stars compared to standard SN CR
scenarios. Future searches for correlations between the $^6$Li abundance and
the kinematic properties of halo stars may constitute an important probe of how
the Galaxy and its halo formed. Furthermore, $^6$Li may offer interesting clues
to some fundamental but currently unresolved issues in cosmology and structure
formation on sub-galactic scales.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 03:48:42 GMT""}]","2007-05-23"
"astro-ph/0312575","Keivan G. Stassun","Keivan G. Stassun, Robert D. Mathieu, Luiz Paulo R. Vaz, Nicholas
  Stroud, Frederick J. Vrba","Dynamical Mass Constraints on Low-Mass Pre-Main-Sequence Stellar
  Evolutionary Tracks: An Eclipsing Binary in Orion with a 1.0 Msun Primary and
  an 0.7 Msun Secondary","Accepted by ApJ",,"10.1086/382353",,"astro-ph",,"  We report the discovery of a double-lined, spectroscopic, eclipsing binary in
the Orion star-forming region. We analyze the system spectroscopically and
photometrically to empirically determine precise, distance-independent masses,
radii, effective temperatures, and luminosities for both components. The
measured masses for the primary and secondary, accurate to ~1%, are 1.01 Msun
and 0.73 Msun, respectively; thus the primary is a definitive pre-main-sequence
solar analog, and the secondary is the lowest-mass star yet discovered among
pre-main-sequence eclipsing binary systems. We use these fundamental
measurements to test the predictions of pre-main-sequence stellar evolutionary
tracks. None of the models we examined correctly predict the masses of the two
components simultaneously, and we implicate differences between the theoretical
and empirical effective temperature scales for this failing. All of the models
predict the observed slope of the mass-radius relationship reasonably well,
though the observations tend to favor models with low convection efficiencies.
Indeed, considering our newly determined mass measurements together with other
dynamical mass measurements of pre-main-sequence stars in the literature, as
well as measurements of Li abundances in these stars, we show that the data
strongly favor evolutionary models with inefficient convection in the stellar
interior, even though such models cannot reproduce the properties of the
present-day Sun.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 04:18:22 GMT""}]","2009-11-10"
"astro-ph/0312577","Thomas Richard Marsh","T. R. Marsh, G. Nelemans, D. Steeghs","Mass Transfer between Double White Dwarfs","17 pages, 11 figures, accepted for publication by MNRAS","Mon.Not.Roy.Astron.Soc. 350 (2004) 113","10.1111/j.1365-2966.2004.07564.x",,"astro-ph",,"  Three periodically variable stars have recently been discovered (V407 Vul,
P=9.5 min; ES Cet, P=10.3 min; RX J0806.3+1527, P=5.3 min) with properties that
suggest that their photometric periods are also their orbital periods, making
them the most compact binary stars known. If true, this might indicate that
close, detached, double white dwarfs are able to survive the onset of mass
transfer caused by gravitational wave radiation and emerge as the
semi-detached, hydrogen-deficient stars known as the AM CVn stars. The
accreting white dwarfs in such systems are large compared to the orbital
separations. This has two effects: first it makes it likely that the mass
transfer stream can hit the accretor directly, and second it causes a loss of
angular momentum from the orbit which can destabilise the mass transfer unless
the angular momentum lost to the accretor can be transferred back to the orbit.
The effect of the destabilisation is to reduce the number of systems which
survive mass transfer by as much as one hundred-fold. In this paper we analyse
this destabilisation and the stabilising effect of a dissipative torque between
the accretor and the binary orbit. We obtain analytic criteria for the
stability of both disc-fed and direct impact accretion, and carry out numerical
integrations to assess the importance of secondary effects, the chief one being
that otherwise stable systems can exceed the Eddington accretion rate. We show
that to have any effect upon survival rates, the synchronising torque must act
on a timescale of order 1000 years or less. If synchronisation torques are this
strong, then they will play a significant role in the spin rates of white
dwarfs in cataclysmic variable stars as well.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 11:59:36 GMT""}]","2009-11-10"
"astro-ph/0312578","Yuri Lyubchik","Yu. Lyubchik (1), H.R.A. Jones (2), Ya.V. Pavlenko (1), S.Viti (3,4),
  J.C.Pickering (5), R.Blackwell-Whitehead (5) ((1) Main Astronomical
  Observatory of NASU, Kiev, Ukraine (2) Astrophysics Research Institute,
  Liverpool John MooreBirkenhead, UK, (3) CNR-Instituto di Fisica dello Spazio
  Interplanetario, Roma, Italy, (4) Dept of Physics and Astronomy, University
  College London, UK, (5) Blackett Laboratory, Imperial College, London, UK)","Atomic lines in infrared spectra for ultracool dwarfs","21 pages, 2 tables, 129 figures, figures are available only at
  http://www.astro.livjm.ac.uk/~hraj/spectralatlas/index.html, accepted to A&A","Astron.Astrophys. 416 (2004) 655-659","10.1051/0004-6361:20034419",,"astro-ph",,"  We provide a set of atomic lines which are suitable for the description of
ultracool dwarf spectra from 10000 to 25000 \AA. This atomic linelist was made
using both synthetic spectra calculations and existing atlases of infrared
spectra of Arcturus and Sunspot umbra. We present plots, which show the
comparison of synthetic spectra and observed Arcturus and Sunspot umbral
spectra for all atomic lines likely to be observable in high resolution
infrared spectra.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:01:21 GMT""}]","2009-11-10"
"astro-ph/0312579","Pedro Gonzalez-Diaz","Pedro F. Gonzalez-Diaz (IMAFF, CSIC, Madrid)","K-Essential Phantom Energy: Doomsday around the corner?","10 pages, Latex, 1 Figure, to appear in Physics Letters B","Phys.Lett. B586 (2004) 1-4","10.1016/j.physletb.2003.12.077","IMAFF-RCA-03-10","astro-ph",,"  In spite of its rather weird properties which include violation of the
dominant-energy condition, the requirement of superluminal sound speed and
increasing vacuum-energy density, phantom energy has recently attracted a lot
of scientific and popular interests. In this letter it is shown that in the
framework of a general k-essence model, vacuum-phantom energy leads to a
cosmological scenario having negative sound speed and a big-rip singularity,
where the field potential also blows up, which might occur at an almost
arbitrarily near time in the future that can still be comfortably accommodated
within current observational constraints.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 13:17:56 GMT""}]","2009-11-10"
